term,event_label,event_slug,event_month,stage,party,mentions,agenda_share,balance,negative_rate,positive_rate,position
23,Global crisis reaction,global_crisis_reaction,2008-10,pre,Cumhuriyet Halk Partisi,230.0,0.3050397877984085,-0.09615384615384616,0.3695652173913043,0.30434782608695654,-0.4545929300890317
23,Global crisis reaction,global_crisis_reaction,2008-10,pre,Milliyetçi Hareket Partisi,224.0,0.29708222811671087,0.015151515151515152,0.4330357142857143,0.44642857142857145,0.34613076567046075
23,Global crisis reaction,global_crisis_reaction,2008-10,pre,Adalet ve Kalkınma Partisi,168.0,0.22281167108753316,0.5108695652173914,0.13095238095238096,0.4107142857142857,-0.020202697939588923
23,Global crisis reaction,global_crisis_reaction,2008-10,pre,Bağımsız,123.0,0.16312997347480107,-0.15584415584415584,0.35772357723577236,0.2601626016260163,-0.5163180414786103
23,Global crisis reaction,global_crisis_reaction,2008-10,pre,Demokratik Sol Parti,9.0,0.011936339522546418,-0.6153846153846154,1.1111111111111112,0.2222222222222222,-0.2301384061885507
23,Global crisis reaction,global_crisis_reaction,2008-10,shock,Adalet ve Kalkınma Partisi,203.0,0.3171875,0.0784313725490196,0.3448275862068966,0.4039408866995074,0.1211427136257014
23,Global crisis reaction,global_crisis_reaction,2008-10,shock,Milliyetçi Hareket Partisi,176.0,0.275,-0.1322314049586777,0.38636363636363635,0.29545454545454547,-0.56656327864871
23,Global crisis reaction,global_crisis_reaction,2008-10,shock,Cumhuriyet Halk Partisi,147.0,0.2296875,-0.1328125,0.4897959183673469,0.3741496598639456,-0.4908342479225664
23,Global crisis reaction,global_crisis_reaction,2008-10,shock,Bağımsız,114.0,0.178125,-0.40714285714285714,0.8596491228070176,0.35964912280701755,-1.3862454887920856
23,Global crisis reaction,global_crisis_reaction,2008-10,post,Adalet ve Kalkınma Partisi,1783.0,0.3135772071755188,0.21343377275580666,0.3510936623667975,0.5417835109366237,0.45938614786982357
23,Global crisis reaction,global_crisis_reaction,2008-10,post,Milliyetçi Hareket Partisi,1402.0,0.2465705240942666,-0.21551724137931033,0.4522111269614836,0.2917261055634807,-0.7923912845486129
23,Global crisis reaction,global_crisis_reaction,2008-10,post,Cumhuriyet Halk Partisi,1378.0,0.24234963067182555,-0.24689312344656172,0.5457184325108854,0.32946298984034833,-0.7577867124914506
23,Global crisis reaction,global_crisis_reaction,2008-10,post,Bağımsız,1123.0,0.19750263805838902,-0.1886993603411514,0.4959928762243989,0.3383793410507569,-0.5207815363014451
23,Referendum aftermath,referendum_aftermath,2010-10,pre,Milliyetçi Hareket Partisi,405.0,0.41116751269035534,0.36721311475409835,0.23703703703703705,0.5135802469135803,0.4487724250858837
23,Referendum aftermath,referendum_aftermath,2010-10,pre,Bağımsız,219.0,0.22233502538071065,0.04926108374384237,0.4383561643835616,0.4840182648401826,-1.1590202483390761
23,Referendum aftermath,referendum_aftermath,2010-10,pre,Cumhuriyet Halk Partisi,210.0,0.2131979695431472,0.1893491124260355,0.3238095238095238,0.47619047619047616,0.674858225973484
23,Referendum aftermath,referendum_aftermath,2010-10,pre,Adalet ve Kalkınma Partisi,151.0,0.1532994923857868,0.2818181818181818,0.2582781456953642,0.46357615894039733,0.9887767443145198
23,Referendum aftermath,referendum_aftermath,2010-10,shock,Cumhuriyet Halk Partisi,108.0,0.3540983606557377,0.3008849557522124,0.3611111111111111,0.6759259259259259,0.5007436452426336
23,Referendum aftermath,referendum_aftermath,2010-10,shock,Milliyetçi Hareket Partisi,81.0,0.26557377049180325,0.10714285714285714,0.14814814814814814,0.18518518518518517,0.03652580184952536
23,Referendum aftermath,referendum_aftermath,2010-10,shock,Bağımsız,64.0,0.2098360655737705,0.09375,0.21875,0.265625,0.16876406918707035
23,Referendum aftermath,referendum_aftermath,2010-10,shock,Adalet ve Kalkınma Partisi,52.0,0.17049180327868851,0.410958904109589,0.40384615384615385,0.9807692307692307,1.1416034813311462
23,Referendum aftermath,referendum_aftermath,2010-10,post,Adalet ve Kalkınma Partisi,1384.0,0.39588100686498856,0.2775,0.31286127167630057,0.5534682080924855,1.2889175567774849
23,Referendum aftermath,referendum_aftermath,2010-10,post,Milliyetçi Hareket Partisi,830.0,0.2374141876430206,-0.03639240506329114,0.39397590361445783,0.36626506024096384,-0.9485359811328978
23,Referendum aftermath,referendum_aftermath,2010-10,post,Cumhuriyet Halk Partisi,720.0,0.20594965675057209,0.04723127035830619,0.40555555555555556,0.44583333333333336,0.5126730353762072
23,Referendum aftermath,referendum_aftermath,2010-10,post,Bağımsız,549.0,0.15703661327231122,-0.12815126050420167,0.48816029143898,0.3770491803278688,-0.9880546418482713
23,Referendum aftermath,referendum_aftermath,2010-10,post,Demokratik Sol Parti,13.0,0.0037185354691075517,0.25,0.3076923076923077,0.5384615384615384,0.31344831263367356
