month_dt,party,position
2009-10-01,Bağımsız,0.195943096053316
2009-10-01,Cumhuriyet Halk Partisi,-3.141894571764637
2009-10-01,Milliyetçi Hareket Partisi,0.14112654248844558
2009-11-01,Adalet ve Kalkınma Partisi,1.8349998853298017
2009-11-01,Bağımsız,0.2975816564896028
2009-11-01,Cumhuriyet Halk Partisi,-0.4490488036893499
2009-11-01,Demokratik Sol Parti,0.47301121317392675
2009-11-01,Milliyetçi Hareket Partisi,-0.13430078738244255
2009-12-01,Adalet ve Kalkınma Partisi,2.103993801368947
2009-12-01,Bağımsız,2.238485154826263
2009-12-01,Cumhuriyet Halk Partisi,-1.247786634448293
2009-12-01,Demokratik Sol Parti,-1.9862365506027273
2009-12-01,Milliyetçi Hareket Partisi,0.20362975547761672
2010-01-01,Adalet ve Kalkınma Partisi,-1.7733919332372499
2010-01-01,Bağımsız,-1.148037981692116
2010-01-01,Cumhuriyet Halk Partisi,-0.8447323909514436
2010-01-01,Milliyetçi Hareket Partisi,0.7265158262406168
2010-02-01,Adalet ve Kalkınma Partisi,1.693017582899777
2010-02-01,Bağımsız,0.7117926791065647
2010-02-01,Cumhuriyet Halk Partisi,1.437805111553516
2010-02-01,Demokratik Sol Parti,-2.971113858487983
2010-02-01,Milliyetçi Hareket Partisi,-2.538820194038122
2010-03-01,Adalet ve Kalkınma Partisi,2.0783766275872733
2010-03-01,Bağımsız,-0.3671869565030941
2010-03-01,Cumhuriyet Halk Partisi,-0.7848055534584029
2010-03-01,Demokrat Parti,-0.574826259647843
2010-03-01,Demokratik Sol Parti,-4.540874723669493
2010-03-01,Milliyetçi Hareket Partisi,-1.1774302916073982
2010-04-01,Adalet ve Kalkınma Partisi,0.2069477026561331
2010-04-01,Bağımsız,0.2122763048055082
2010-04-01,Cumhuriyet Halk Partisi,-0.6070353125588428
2010-04-01,Demokratik Sol Parti,-1.5674690070812296
2010-04-01,Milliyetçi Hareket Partisi,0.5392337425566348
2010-05-01,Adalet ve Kalkınma Partisi,1.297708181926079
2010-05-01,Bağımsız,-0.3581148478959384
2010-05-01,Cumhuriyet Halk Partisi,0.21179188216533051
2010-05-01,Demokratik Sol Parti,-1.3813335486695129
2010-05-01,Milliyetçi Hareket Partisi,0.6008087744951611
2010-06-01,Adalet ve Kalkınma Partisi,0.13892742064579233
2010-06-01,Bağımsız,0.028142645688566295
2010-06-01,Cumhuriyet Halk Partisi,-1.0307503778769083
2010-06-01,Demokratik Sol Parti,-1.3958140990585481
2010-06-01,Milliyetçi Hareket Partisi,-0.8595732768075457
2010-07-01,Adalet ve Kalkınma Partisi,3.563459145524093
2010-07-01,Bağımsız,-0.969831356669598
2010-07-01,Cumhuriyet Halk Partisi,1.2600357181121153
2010-07-01,Demokratik Sol Parti,-1.574214479851461
2010-07-01,Milliyetçi Hareket Partisi,-2.9722765673053573
2010-10-01,Adalet ve Kalkınma Partisi,0.37388039492091163
2010-10-01,Bağımsız,-0.28536140808951027
2010-10-01,Cumhuriyet Halk Partisi,-0.3836052039215565
2010-10-01,Demokratik Sol Parti,-1.1728136230674069
2010-10-01,Milliyetçi Hareket Partisi,-0.987498429188443
2010-11-01,Adalet ve Kalkınma Partisi,4.04779968813639
2010-11-01,Bağımsız,0.508293483276527
2010-11-01,Cumhuriyet Halk Partisi,3.087916569678718
2010-11-01,Milliyetçi Hareket Partisi,-2.0007154908065576
2010-12-01,Adalet ve Kalkınma Partisi,2.8430617205809816
2010-12-01,Bağımsız,0.1964985335397481
2010-12-01,Cumhuriyet Halk Partisi,-0.3785246065023693
2010-12-01,Demokratik Sol Parti,-3.2997549991273316
2010-12-01,Milliyetçi Hareket Partisi,0.27440959394909664
2011-01-01,Adalet ve Kalkınma Partisi,0.9766688161259158
2011-01-01,Bağımsız,-1.0426757963627624
2011-01-01,Cumhuriyet Halk Partisi,-0.2835108746327207
2011-01-01,Demokratik Sol Parti,0.29043868707561504
2011-01-01,Milliyetçi Hareket Partisi,-1.1003646300535448
2011-02-01,Adalet ve Kalkınma Partisi,0.8226078717501198
2011-02-01,Bağımsız,-0.8734968846124819
2011-02-01,Cumhuriyet Halk Partisi,-2.240648889883741
2011-02-01,Milliyetçi Hareket Partisi,-0.1408710592926452
2011-03-01,Adalet ve Kalkınma Partisi,1.0781813828179991
2011-03-01,Bağımsız,0.19714285171042178
2011-03-01,Cumhuriyet Halk Partisi,0.3484391059942047
2011-03-01,Demokratik Sol Parti,-0.8997824432303395
2011-03-01,Milliyetçi Hareket Partisi,-0.2962434410557193
2011-04-01,Adalet ve Kalkınma Partisi,2.8010472008686467
2011-04-01,Bağımsız,-3.259964785938953
2011-04-01,Cumhuriyet Halk Partisi,1.1384172057562179
2011-04-01,Milliyetçi Hareket Partisi,3.8508600482330313
