speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Faruk Çelik,Adalet ve Kalkınma Partisi,0,Neutral,375.0,0.0,0.0,0.5607232415193006,0.5887348503634601,0.5607232415193006,0.5887348503634601,0.0,0.4878152974790459,1.9030795216614016,1.6548517579664364
Muhsin Yazıcıoğlu,Bağımsız,-1,Pole -,72.0,0.0,6.831956166704034,3.5435092013015517,0.0,3.5435092013015517,6.831956166704034,0.0,0.3415277363738309,1.8996345032915456,0.0
Hasan Angı,Adalet ve Kalkınma Partisi,0,Neutral,48.0,3.5242207261922367,0.0,0.6118655525886519,2.004585522205212,4.136086278780889,2.004585522205212,0.0,0.32644400919730987,1.8921831501729913,0.9812170491047765
Metin Ergun,Milliyetçi Hareket Partisi,0,Neutral,43.0,0.7422758699903019,0.6516994835915985,0.21512774834401033,0.7816106841884886,0.9574036183343122,1.433310167780087,0.46751148178445723,0.40046768605032473,1.8914568952744513,0.702522569043676
Ömer Çelik,Adalet ve Kalkınma Partisi,-1,Pole -,108.0,0.0,2.8508271482051537,5.225250333554644,0.0,5.225250333554644,2.8508271482051537,0.0,0.35299650780851033,1.8753725930876002,0.0
Osman Demir,Adalet ve Kalkınma Partisi,0,Neutral,63.0,0.7982607593880895,0.6468149957368948,0.6066257456113899,0.2715310869304226,1.4048865049994794,0.9183460826673174,0.447599368403598,0.3952880512899127,1.8541943371291028,0.9688925455330175
Sibel Gönül,Adalet ve Kalkınma Partisi,1,Pole +,133.0,4.661219722253099,0.0,0.0,10.319472696369845,4.661219722253099,10.319472696369845,0.0,0.31114848310665866,1.8445829743238817,0.0
Bayram Ali Bayramoğlu,Adalet ve Kalkınma Partisi,-1,Pole -,109.0,0.0,5.168939756442624,2.7158413308621383,0.0,2.7158413308621383,5.168939756442624,0.0,0.3444409299949312,1.8217034809438695,0.0
Recep Akdağ,Adalet ve Kalkınma Partisi,1,Pole +,173.0,2.0099948402864545,0.0,0.8355256992120421,1.7655089508261539,2.8455205394984966,1.7655089508261539,0.0,0.38288823659615345,1.8210028284535968,1.3459611526265711
Ahmet Türk,Bağımsız,0,Neutral,93.0,0.5907198041654479,0.7980901092625956,0.5901163764180165,0.0,1.1808361805834644,0.7980901092625956,0.4253424446560962,0.4032945102373592,1.8187202755608913,0.0
Akın Birdal,Bağımsız,0,Neutral,1012.0,1.5411196360775095,0.8789207041479872,0.6407913104738923,0.3013059495184983,2.181910946551402,1.1802266536664856,0.3631843193584558,0.3510346076374045,1.7937067142226522,1.023698300594675
Bilgin Paçarız,Cumhuriyet Halk Partisi,1,Pole +,57.0,5.007704061778773,0.0,0.6083929414441847,2.8215446940797424,5.616097003222958,2.8215446940797424,0.0,0.33439968121036934,1.7911477325615146,0.7916369210122851
Ömer Faruk Öz,Adalet ve Kalkınma Partisi,1,Pole +,64.0,1.5939349518763866,0.0,0.28271022534726903,3.2088262970799386,1.8766451772236556,3.2088262970799386,0.0,0.36902088357729373,1.790894637753224,0.3627955591163517
Atilla Kart,Cumhuriyet Halk Partisi,0,Neutral,834.0,0.0,0.8370932196108897,1.3153722853468255,0.0,1.3153722853468255,0.8370932196108897,0.0,0.38889971397633827,1.7906840340568526,0.0
Selahattin Demirtaş,Bağımsız,0,Neutral,346.0,0.8136965831721998,1.635933156691088,0.4099183075676828,0.6978798389873871,1.2236148907398827,2.333812995678475,0.3321712541281608,0.3439605606813483,1.7796379004340233,1.2420868438806694
Salih Kapusuz,Adalet ve Kalkınma Partisi,0,Neutral,67.0,0.28340441408467354,0.5945791245379357,2.1547841284517153,0.6618324074726373,2.438188542536389,1.2564115320105729,0.32279012224590403,0.34006699137106716,1.7741274695732525,1.0029908844827609
İlknur İnceöz,Adalet ve Kalkınma Partisi,1,Pole +,54.0,7.602835318354102,0.0,0.0,3.4810299547977976,7.602835318354102,3.4810299547977976,0.0,0.3140628173202109,1.7675356899458334,0.0
