layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,5,12,51,5,24,0.5,0.36363636363636365,,0.5226140664773204,0.2,0.5101045260061036,0.09393939393939393,2.045464608467064,2.03688863403568,2007
total,6,12,59,8,24,0.5333333333333333,0.36363636363636365,,0.5290100658629753,0.15,0.5039333474771602,0.1015151515151515,2.0292938292013907,2.0876335451729786,2008
total,5,12,58,5,24,0.5,0.36363636363636365,,0.648534715654292,0.16666666666666666,0.49191305261367035,0.10757575757575759,1.6129047392516704,2.158902101184524,2009
total,6,12,57,7,24,0.4666666666666667,0.36363636363636365,,0.28198114534518365,0.16666666666666666,0.4874224648790053,0.10909090909090909,4.282645859058607,2.1600483747632753,2010
total,5,12,53,5,24,0.5,0.36363636363636365,,0.502673549489412,0.2,0.5318577199383538,0.08636363636363635,2.148748642381154,1.9529599738938737,2011
positive,5,11,42,5,20,0.5,0.36363636363636365,,0.5296571885952499,0.2333333333333333,0.44956358854087225,0.1272727272727273,1.952565803410522,2.3799157544737493,2007
positive,6,12,53,7,24,0.4666666666666667,0.36363636363636365,,0.3708269937423463,0.16666666666666666,0.5192745408699878,0.08636363636363636,3.0726393469944795,1.9871680291698688,2008
positive,5,12,46,5,24,0.5,0.36363636363636365,,0.5331658835667341,0.2,0.4517430548628239,0.11666666666666665,2.000672204041763,2.38681929201226,2009
positive,6,12,49,7,24,0.4666666666666667,0.36363636363636365,,0.3390331838085294,0.16666666666666666,0.49453164664007865,0.09242424242424242,3.385805897821345,2.1110386677166657,2010
positive,5,11,41,5,19,0.5,0.34545454545454546,,0.4393183642603359,0.2333333333333333,0.476933674377471,0.1111111111111111,2.4786986457480387,2.192287661491573,2011
negative,5,12,44,5,24,0.5,0.36363636363636365,,0.43189218729164836,0.2,0.4641503290347575,0.10606060606060606,2.478682937892178,2.2743637017220597,2007
negative,6,12,53,8,24,0.5333333333333333,0.36363636363636365,,0.5096119253649748,0.15,0.5098880866676295,0.09242424242424242,2.1326624758210264,2.0725387704961826,2008
negative,5,12,50,5,24,0.5,0.36363636363636365,,0.5903837698995612,0.2333333333333333,0.5036017317390444,0.08787878787878789,1.7579069329583235,2.0758762393417265,2009
negative,5,12,55,5,24,0.5,0.36363636363636365,,0.6362270100325038,0.16666666666666666,0.4856465512533297,0.10606060606060604,1.6425676955419057,2.184487311594252,2010
negative,5,12,40,5,23,0.5,0.3484848484848485,,0.04744093116212217,0.2333333333333333,0.4431387055098528,0.11363636363636363,27.91535462166568,2.4010376638624997,2011
