party,Adalet ve Kalkınma Partisi,Bağımsız,Cumhuriyet Halk Partisi,Demokrat Parti,Demokratik Sol Parti,Milliyetçi Hareket Partisi
Adalet ve Kalkınma Partisi,1.0,-0.1356750143039858,-0.18743465759783384,-0.44519674155876043,-0.36992987061540294,-0.26618730810554037
Bağımsız,-0.1356750143039858,1.0,0.329210223068033,-0.2922520501310065,-0.35361576950021684,0.10839059479767445
Cumhuriyet Halk Partisi,-0.18743465759783384,0.329210223068033,1.0000000000000002,-0.011081152640393666,-0.5194431109502055,0.4319987372353072
Demokrat Parti,-0.44519674155876043,-0.2922520501310065,-0.011081152640393666,1.0,-0.16119626014342817,0.14728062159617203
Demokratik Sol Parti,-0.36992987061540294,-0.35361576950021684,-0.5194431109502055,-0.16119626014342817,1.0,-0.4755847683387854
Milliyetçi Hareket Partisi,-0.26618730810554037,0.10839059479767445,0.4319987372353072,0.14728062159617203,-0.4755847683387854,1.0
