year,party,position,party_short
2007,Adalet ve Kalkınma Partisi,0.21024782739972725,AKP
2007,Bağımsız,1.4768392569066044,IND
2007,Cumhuriyet Halk Partisi,0.40635124214860463,CHP
2007,Demokratik Sol Parti,-1.7461211854751633,DSP
2007,Milliyetçi Hareket Partisi,0.92770001453957,MHP
2008,Adalet ve Kalkınma Partisi,1.997899152186926,AKP
2008,Bağımsız,0.5243049750468902,IND
2008,Cumhuriyet Halk Partisi,0.4074615973218517,CHP
2008,Demokrat Parti,0.07867485795105122,DP
2008,Demokratik Sol Parti,-0.6212332130457373,DSP
2008,Milliyetçi Hareket Partisi,0.4106244746255124,MHP
2009,Adalet ve Kalkınma Partisi,1.7037141370250954,AKP
2009,Bağımsız,0.9597814351426396,IND
2009,Cumhuriyet Halk Partisi,-2.189220044036403,CHP
2009,Demokratik Sol Parti,-1.5749993912535238,DSP
2009,Milliyetçi Hareket Partisi,-0.5824632330089992,MHP
2010,Adalet ve Kalkınma Partisi,1.5737676633743867,AKP
2010,Bağımsız,0.056973987424577266,IND
2010,Cumhuriyet Halk Partisi,0.07759540813009791,CHP
2010,Demokrat Parti,-0.5748262596478427,DP
2010,Demokratik Sol Parti,-3.128248939876279,DSP
2010,Milliyetçi Hareket Partisi,-0.35195066915279505,MHP
2011,Adalet ve Kalkınma Partisi,1.3535959153110961,AKP
2011,Bağımsız,-0.7468855741528384,IND
2011,Cumhuriyet Halk Partisi,-0.3865249635538474,CHP
2011,Demokratik Sol Parti,-0.060796493053525,DSP
2011,Milliyetçi Hareket Partisi,-0.20226197827767237,MHP
