date,open,high,low,close,adjclose,volume,symbol,series,forex_buying,forex_selling,source
2002-01-02,1.4442395000000001,1.447714,1.440765,1.4442395000000001,1.4442395000000001,,TCMB_USDTRY,usd_try,1.440765,1.447714,TCMB daily exchange-rate XML archive
2002-01-03,1.429847,1.433287,1.426407,1.429847,1.429847,,TCMB_USDTRY,usd_try,1.426407,1.433287,TCMB daily exchange-rate XML archive
2002-01-04,1.4067655000000001,1.41015,1.403381,1.4067655000000001,1.4067655000000001,,TCMB_USDTRY,usd_try,1.403381,1.41015,TCMB daily exchange-rate XML archive
2002-01-07,1.3935845,1.396937,1.390232,1.3935845,1.3935845,,TCMB_USDTRY,usd_try,1.390232,1.396937,TCMB daily exchange-rate XML archive
2002-01-08,1.3898795000000002,1.393223,1.386536,1.3898795000000002,1.3898795000000002,,TCMB_USDTRY,usd_try,1.386536,1.393223,TCMB daily exchange-rate XML archive
2002-01-09,1.3977675,1.40113,1.394405,1.3977675,1.3977675,,TCMB_USDTRY,usd_try,1.394405,1.40113,TCMB daily exchange-rate XML archive
2002-01-10,1.38588,1.389214,1.382546,1.38588,1.38588,,TCMB_USDTRY,usd_try,1.382546,1.389214,TCMB daily exchange-rate XML archive
2002-01-11,1.3770440000000002,1.380357,1.373731,1.3770440000000002,1.3770440000000002,,TCMB_USDTRY,usd_try,1.373731,1.380357,TCMB daily exchange-rate XML archive
2002-01-14,1.360862,1.364136,1.357588,1.360862,1.360862,,TCMB_USDTRY,usd_try,1.357588,1.364136,TCMB daily exchange-rate XML archive
2002-01-15,1.36553,1.368815,1.362245,1.36553,1.36553,,TCMB_USDTRY,usd_try,1.362245,1.368815,TCMB daily exchange-rate XML archive
2002-01-16,1.368321,1.371613,1.365029,1.368321,1.368321,,TCMB_USDTRY,usd_try,1.365029,1.371613,TCMB daily exchange-rate XML archive
2002-01-17,1.362899,1.366178,1.35962,1.362899,1.362899,,TCMB_USDTRY,usd_try,1.35962,1.366178,TCMB daily exchange-rate XML archive
2002-01-18,1.3434149999999998,1.346647,1.340183,1.3434149999999998,1.3434149999999998,,TCMB_USDTRY,usd_try,1.340183,1.346647,TCMB daily exchange-rate XML archive
2002-01-21,1.3229475000000002,1.32613,1.319765,1.3229475000000002,1.3229475000000002,,TCMB_USDTRY,usd_try,1.319765,1.32613,TCMB daily exchange-rate XML archive
2002-01-22,1.332223,1.335428,1.329018,1.332223,1.332223,,TCMB_USDTRY,usd_try,1.329018,1.335428,TCMB daily exchange-rate XML archive
2002-01-23,1.3477795000000001,1.351022,1.344537,1.3477795000000001,1.3477795000000001,,TCMB_USDTRY,usd_try,1.344537,1.351022,TCMB daily exchange-rate XML archive
2002-01-24,1.345053,1.348289,1.341817,1.345053,1.345053,,TCMB_USDTRY,usd_try,1.341817,1.348289,TCMB daily exchange-rate XML archive
2002-01-25,1.3287265000000001,1.331923,1.32553,1.3287265000000001,1.3287265000000001,,TCMB_USDTRY,usd_try,1.32553,1.331923,TCMB daily exchange-rate XML archive
2002-01-28,1.3273715,1.330565,1.324178,1.3273715,1.3273715,,TCMB_USDTRY,usd_try,1.324178,1.330565,TCMB daily exchange-rate XML archive
2002-01-29,1.3177159999999999,1.320886,1.314546,1.3177159999999999,1.3177159999999999,,TCMB_USDTRY,usd_try,1.314546,1.320886,TCMB daily exchange-rate XML archive
2002-01-30,1.3240245000000002,1.32721,1.320839,1.3240245000000002,1.3240245000000002,,TCMB_USDTRY,usd_try,1.320839,1.32721,TCMB daily exchange-rate XML archive
2002-01-31,1.308488,1.311636,1.30534,1.308488,1.308488,,TCMB_USDTRY,usd_try,1.30534,1.311636,TCMB daily exchange-rate XML archive
2002-02-01,1.3024715,1.305605,1.299338,1.3024715,1.3024715,,TCMB_USDTRY,usd_try,1.299338,1.305605,TCMB daily exchange-rate XML archive
2002-02-04,1.3105609999999999,1.313714,1.307408,1.3105609999999999,1.3105609999999999,,TCMB_USDTRY,usd_try,1.307408,1.313714,TCMB daily exchange-rate XML archive
2002-02-05,1.305584,1.308725,1.302443,1.305584,1.305584,,TCMB_USDTRY,usd_try,1.302443,1.308725,TCMB daily exchange-rate XML archive
2002-02-06,1.32606,1.32925,1.32287,1.32606,1.32606,,TCMB_USDTRY,usd_try,1.32287,1.32925,TCMB daily exchange-rate XML archive
2002-02-07,1.3315774999999999,1.334781,1.328374,1.3315774999999999,1.3315774999999999,,TCMB_USDTRY,usd_try,1.328374,1.334781,TCMB daily exchange-rate XML archive
2002-02-08,1.372503,1.375805,1.369201,1.372503,1.372503,,TCMB_USDTRY,usd_try,1.369201,1.375805,TCMB daily exchange-rate XML archive
2002-02-11,1.3793475,1.382666,1.376029,1.3793475,1.3793475,,TCMB_USDTRY,usd_try,1.376029,1.382666,TCMB daily exchange-rate XML archive
2002-02-12,1.3725399999999999,1.375842,1.369238,1.3725399999999999,1.3725399999999999,,TCMB_USDTRY,usd_try,1.369238,1.375842,TCMB daily exchange-rate XML archive
2002-02-13,1.343113,1.346344,1.339882,1.343113,1.343113,,TCMB_USDTRY,usd_try,1.339882,1.346344,TCMB daily exchange-rate XML archive
2002-02-14,1.3424405,1.34567,1.339211,1.3424405,1.3424405,,TCMB_USDTRY,usd_try,1.339211,1.34567,TCMB daily exchange-rate XML archive
2002-02-15,1.349662,1.352909,1.346415,1.349662,1.349662,,TCMB_USDTRY,usd_try,1.346415,1.352909,TCMB daily exchange-rate XML archive
2002-02-18,1.3514694999999999,1.354721,1.348218,1.3514694999999999,1.3514694999999999,,TCMB_USDTRY,usd_try,1.348218,1.354721,TCMB daily exchange-rate XML archive
