date,open,high,low,close,adjclose,volume,symbol,series
2005-01-03,1.8125,1.812999963760376,1.8013999462127686,1.809000015258789,1.809000015258789,0.0,EURTRY=X,eur_try
2005-01-04,1.7799999713897705,1.8042000532150269,1.7799999713897705,1.8005000352859497,1.8005000352859497,0.0,EURTRY=X,eur_try
2005-01-05,1.7630000114440918,1.8379000425338745,1.7630000114440918,1.8209999799728394,1.8209999799728394,0.0,EURTRY=X,eur_try
2005-01-06,1.8270000219345093,1.8565000295639038,1.823699951171875,1.8335000276565552,1.8335000276565552,0.0,EURTRY=X,eur_try
2005-01-07,1.8300000429153442,1.8300000429153442,1.7948999404907227,1.819000005722046,1.819000005722046,0.0,EURTRY=X,eur_try
2005-01-10,1.8280999660491943,1.837399959564209,1.7985999584197998,1.8205000162124634,1.8205000162124634,0.0,EURTRY=X,eur_try
2005-01-11,1.809399962425232,1.815500020980835,1.7973999977111816,1.8025000095367432,1.8025000095367432,0.0,EURTRY=X,eur_try
2005-01-12,1.801900029182434,1.8069000244140625,1.7782000303268433,1.7999999523162842,1.7999999523162842,0.0,EURTRY=X,eur_try
2005-01-13,1.7879999876022339,1.7930999994277954,1.779099941253662,1.7860000133514404,1.7860000133514404,0.0,EURTRY=X,eur_try
2005-01-14,1.746000051498413,1.7835999727249146,1.746000051498413,1.7660000324249268,1.7660000324249268,0.0,EURTRY=X,eur_try
2005-01-17,1.7330000400543213,1.7648999691009521,1.7330000400543213,1.7450000047683716,1.7450000047683716,0.0,EURTRY=X,eur_try
2005-01-18,1.7410999536514282,1.7489999532699585,1.735200047492981,1.7467000484466553,1.7467000484466553,0.0,EURTRY=X,eur_try
2005-01-19,1.7050000429153442,1.7563999891281128,1.7050000429153442,1.7454999685287476,1.7454999685287476,0.0,EURTRY=X,eur_try
2005-01-20,1.739400029182434,1.75,1.7300000190734863,1.75,1.75,0.0,EURTRY=X,eur_try
2005-01-21,1.7422000169754028,1.7549999952316284,1.7384999990463257,1.7549999952316284,1.7549999952316284,0.0,EURTRY=X,eur_try
2005-01-24,1.7444000244140625,1.746999979019165,1.7337000370025635,1.7445000410079956,1.7445000410079956,0.0,EURTRY=X,eur_try
2005-01-25,1.735700011253357,1.739799976348877,1.7173000574111938,1.7280000448226929,1.7280000448226929,0.0,EURTRY=X,eur_try
2005-01-26,1.6959999799728394,1.7366000413894653,1.6959999799728394,1.7265000343322754,1.7265000343322754,0.0,EURTRY=X,eur_try
2005-01-27,1.7172000408172607,1.750599980354309,1.7172000408172607,1.7404999732971191,1.7404999732971191,0.0,EURTRY=X,eur_try
2005-01-28,1.7109999656677246,1.7419999837875366,1.7109999656677246,1.7419999837875366,1.7419999837875366,0.0,EURTRY=X,eur_try
2005-01-31,1.7339999675750732,1.7400000095367432,1.6920000314712524,1.7364000082015991,1.7364000082015991,0.0,EURTRY=X,eur_try
2005-02-01,1.7323999404907227,1.7339999675750732,1.7055000066757202,1.7055000066757202,1.7055000066757202,0.0,EURTRY=X,eur_try
2005-02-02,1.7237999439239502,1.732200026512146,1.7192000150680542,1.7274999618530273,1.7274999618530273,0.0,EURTRY=X,eur_try
2005-02-03,1.7175999879837036,1.7187000513076782,1.7028000354766846,1.715999960899353,1.715999960899353,0.0,EURTRY=X,eur_try
2005-02-04,1.7037999629974365,1.7072999477386475,1.681399941444397,1.6864999532699585,1.6864999532699585,0.0,EURTRY=X,eur_try
2005-02-07,1.6825000047683716,1.690600037574768,1.6718000173568726,1.6825000047683716,1.6825000047683716,0.0,EURTRY=X,eur_try
2005-02-08,1.6718000173568726,1.7024999856948853,1.6714999675750732,1.6974999904632568,1.6974999904632568,0.0,EURTRY=X,eur_try
2005-02-09,1.6610000133514404,1.7089999914169312,1.6610000133514404,1.7074999809265137,1.7074999809265137,0.0,EURTRY=X,eur_try
2005-02-10,1.6936999559402466,1.715499997138977,1.6931999921798706,1.7137999534606934,1.7137999534606934,0.0,EURTRY=X,eur_try
2005-02-11,1.6998000144958496,1.7024999856948853,1.6871000528335571,1.6955000162124634,1.6955000162124634,0.0,EURTRY=X,eur_try
2005-02-14,1.6938999891281128,1.6993999481201172,1.6904000043869019,1.6928999423980713,1.6928999423980713,0.0,EURTRY=X,eur_try
2005-02-15,1.6914000511169434,1.7065000534057617,1.6878999471664429,1.7065000534057617,1.7065000534057617,0.0,EURTRY=X,eur_try
2005-02-16,1.6957999467849731,1.7144999504089355,1.690999984741211,1.7135000228881836,1.7135000228881836,0.0,EURTRY=X,eur_try
2005-02-17,1.7070000171661377,1.7075999975204468,1.694200038909912,1.7044999599456787,1.7044999599456787,0.0,EURTRY=X,eur_try
2005-02-18,1.6991000175476074,1.7079999446868896,1.6892000436782837,1.7074999809265137,1.7074999809265137,0.0,EURTRY=X,eur_try
2005-02-21,1.7015999555587769,1.7037999629974365,1.6907000541687012,1.6970000267028809,1.6970000267028809,0.0,EURTRY=X,eur_try
2005-02-22,1.7060999870300293,1.7186000347137451,1.6988999843597412,1.715999960899353,1.715999960899353,0.0,EURTRY=X,eur_try
2005-02-23,1.711899995803833,1.7209999561309814,1.7074999809265137,1.7209999561309814,1.7209999561309814,0.0,EURTRY=X,eur_try
2005-02-24,1.7148000001907349,1.716599941253662,1.6999000310897827,1.7139999866485596,1.7139999866485596,0.0,EURTRY=X,eur_try
2005-02-25,1.6749999523162842,1.7081999778747559,1.6749999523162842,1.69760000705719,1.69760000705719,0.0,EURTRY=X,eur_try
2005-02-28,1.7009999752044678,1.7041000127792358,1.6821999549865723,1.690999984741211,1.690999984741211,0.0,EURTRY=X,eur_try
