date,open,high,low,close,adjclose,volume,symbol,series
2002-01-02,137.8280029296875,140.77999877929688,136.0070037841797,140.77999877929688,140.7792510986328,14422230000.0,XU100.IS,bist100
2002-01-03,140.77999877929688,142.73800659179688,140.031005859375,142.7270050048828,142.7262420654297,20347890000.0,XU100.IS,bist100
2002-01-07,142.7270050048828,149.9949951171875,142.7010040283203,149.9949951171875,149.99420166015625,29980540000.0,XU100.IS,bist100
2002-01-08,149.9949951171875,150.71800231933594,146.28500366210938,148.78900146484375,148.7882080078125,20921110000.0,XU100.IS,bist100
2002-01-09,148.78900146484375,149.9980010986328,136.64700317382812,140.42799377441406,140.42724609375,22044090000.0,XU100.IS,bist100
2002-01-10,140.42799377441406,143.33299255371094,136.92999267578125,138.18600463867188,138.18527221679688,19376070000.0,XU100.IS,bist100
2002-01-11,138.18600463867188,140.39300537109375,134.5500030517578,136.16200256347656,136.16128540039062,14197690000.0,XU100.IS,bist100
2002-01-14,136.16200256347656,139.13999938964844,133.46299743652344,136.38600158691406,136.38528442382812,14658580000.0,XU100.IS,bist100
2002-01-15,136.38600158691406,137.01400756835938,130.95700073242188,133.47999572753906,133.4792938232422,10491880000.0,XU100.IS,bist100
2002-01-16,133.47999572753906,133.4980010986328,126.36199951171875,127.58899688720703,127.58831787109375,12735630000.0,XU100.IS,bist100
2002-01-17,127.58899688720703,131.17300415039062,126.70899963378906,128.93600463867188,128.93531799316406,15668980000.0,XU100.IS,bist100
2002-01-18,128.93600463867188,132.093994140625,127.72699737548828,130.1219940185547,130.12130737304688,12631230000.0,XU100.IS,bist100
2002-01-21,130.1219940185547,130.66400146484375,123.98899841308594,126.29399871826172,126.29332733154297,8758770000.0,XU100.IS,bist100
2002-01-22,126.29399871826172,127.53199768066406,123.3759994506836,126.39199829101562,126.39132690429688,9141320000.0,XU100.IS,bist100
2002-01-23,126.39199829101562,129.51699829101562,123.77300262451172,129.1020050048828,129.101318359375,11237000000.0,XU100.IS,bist100
2002-01-24,129.1020050048828,131.23399353027344,128.12899780273438,130.26100158691406,130.26031494140625,11915320000.0,XU100.IS,bist100
2002-01-25,130.26100158691406,130.38299560546875,126.87699890136719,128.71099853515625,128.71031188964844,6339320000.0,XU100.IS,bist100
2002-01-28,128.71099853515625,128.71099853515625,124.4990005493164,127.64600372314453,127.64532470703125,8209570000.0,XU100.IS,bist100
2002-01-29,127.64600372314453,128.6699981689453,123.99099731445312,125.1500015258789,125.14933776855469,10832540000.0,XU100.IS,bist100
2002-01-30,125.1500015258789,126.49400329589844,120.69999694824219,125.38999938964844,125.38933563232422,10198370000.0,XU100.IS,bist100
2002-01-31,125.38999938964844,132.5229949951172,125.38999938964844,132.5229949951172,132.5222930908203,15083190000.0,XU100.IS,bist100
2002-02-01,132.5229949951172,135.0030059814453,131.3159942626953,133.75399780273438,133.75328063964844,14449870000.0,XU100.IS,bist100
2002-02-04,133.75399780273438,133.75399780273438,129.0850067138672,130.7469940185547,130.74630737304688,7385910000.0,XU100.IS,bist100
