party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,2844,8781,2473,2429,10496.7,10496.7,0.008974097491331838,total
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,3088,7965,1668,2797,9527.75,9527.75,-0.2527989252127183,total
Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,2024,7028,1885,2009,8390.9,8390.9,-0.03183568677792041,total
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,2681,6096,1171,2378,7338.15,7338.15,-0.34,total
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,2127,5502,2075,2112,6967.45,6967.45,-0.00883476599808978,total
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,1301,5179,3596,1184,6852.0,6852.0,0.5044969671616817,total
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,1280,5088,1287,1824,6176.85,6176.85,-0.17255784061696658,total
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,2067,5390,895,899,6017.9,6017.9,-0.0022284122562674096,total
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,1070,4605,1819,1585,5796.4,5796.4,0.06872246696035242,total
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,1767,4522,1359,859,5298.3,5298.3,0.22532672374943669,total
Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,1656,4083,1429,1183,4997.2,4997.2,0.09414466130884042,total
Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,870,3387,1301,1545,4383.1,4383.1,-0.08570425008781173,total
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,1754,3548,1173,870,4263.05,4263.05,0.14823874755381605,total
Halkların Demokratik Partisi,security,Guvenlik,security_conflict,1627,3236,535,1144,3823.65,3823.65,-0.3625,total
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,801,3114,1026,780,3746.1,3746.1,0.13613724405091313,total
Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,1011,3092,623,614,3524.95,3524.95,0.007269789983844911,total
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1074,2824,677,415,3206.2,3206.2,0.23970722781335774,total
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,1101,2052,800,450,2489.5,2489.5,0.2797761790567546,total
Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,487,1604,357,242,1813.65,1813.65,0.19166666666666668,total
Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,328,859,271,212,1028.05,1028.05,0.12190082644628099,total
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,284,672,370,78,828.8,828.8,0.6503340757238307,total
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,308,588,236,90,702.1,702.1,0.44648318042813456,total
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,262,586,81,94,647.25,647.25,-0.07386363636363637,total
Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,180,534,79,121,604.0,604.0,-0.208955223880597,total
Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,201,349,54,588,573.7,573.7,-0.8304821150855366,total
Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,215,482,113,87,552.0,552.0,0.12935323383084577,total
Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,215,479,140,52,546.2,546.2,0.45595854922279794,total
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,195,446,107,71,508.3,508.3,0.2011173184357542,total
