term,event_month,event_label,party,pre_position,post_position,delta_position
26,2016-07,15 July coup,Adalet ve Kalkınma Partisi,0.30563704435746736,2.356904396965739,2.0512673526082716
26,2016-07,15 July coup,Cumhuriyet Halk Partisi,-1.0749625061388097,1.1614341669031343,2.236396673041944
26,2016-07,15 July coup,Halkların Demokratik Partisi,-0.7239118941988436,-1.3181634517450291,-0.5942515575461855
26,2016-07,15 July coup,Milliyetçi Hareket Partisi,0.4815649952727255,-0.7181088694531776,-1.199673864725903
26,2016-07,15 July coup,Saadet Partisi,4.677960824957266,0.3506795840660544,-4.327281240891211
26,2016-07,15 July coup,İYİ Parti,0.8731213512304774,3.7776705821361736,2.904549230905696
26,2016-11,HDP arrests,Adalet ve Kalkınma Partisi,1.1951387077805917,0.8839406286147998,-0.3111980791657919
26,2016-11,HDP arrests,Bağımsız,,0.05172761622366908,
26,2016-11,HDP arrests,Cumhuriyet Halk Partisi,-1.2218297258949855,-0.02674294639902926,1.1950867794959563
26,2016-11,HDP arrests,Halkların Demokratik Partisi,-1.9073588262013248,-1.3683942951261068,0.538964531075218
26,2016-11,HDP arrests,Milliyetçi Hareket Partisi,-1.1416638920949111,-0.697469101697671,0.4441947903972402
26,2016-11,HDP arrests,Saadet Partisi,,1.1470943022493922,
26,2016-11,HDP arrests,İYİ Parti,1.3105509715771377,-0.09948738726581659,-1.4100383588429544
26,2017-04,Referendum,Adalet ve Kalkınma Partisi,0.16034314861436463,0.8541163480948205,0.6937731994804559
26,2017-04,Referendum,Cumhuriyet Halk Partisi,-2.219799935987199,-0.16056340318297244,2.0592365328042264
26,2017-04,Referendum,Halkların Demokratik Partisi,-1.2899209530107216,-1.2837158203919483,0.0062051326187733125
26,2017-04,Referendum,Milliyetçi Hareket Partisi,-0.026528825818799423,-1.610367337038659,-1.5838385112198596
26,2017-04,Referendum,İYİ Parti,,0.05172761622366908,
