speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Abdulhamit Gül,Adalet ve Kalkınma Partisi,536,1,Pole +,0.03557299197616873,-0.6441129113143484,0.408479131383948
Abdullah Nejat Koçer,Adalet ve Kalkınma Partisi,223,0,Neutral,0.013764163886355152,-0.3004930867723886,-0.5425270654797989
Abdurrahman Öz,Adalet ve Kalkınma Partisi,98,0,Neutral,0.004420814781264104,0.06128118332378398,0.30893957789625415
Adem Geveri,Halkların Demokratik Partisi,95,-1,Pole -,-0.030252473526508283,0.4876950887302329,0.48421151460769446
Adnan Boynukara,Adalet ve Kalkınma Partisi,311,0,Neutral,-0.013085980949038734,0.603719583850377,-0.03276585835669465
Ahmet Akın,Cumhuriyet Halk Partisi,178,0,Neutral,0.0025862773115841176,-0.3078421897692007,-0.051302679246987254
Ahmet Berat Çonkar,Adalet ve Kalkınma Partisi,42,0,Neutral,0.004698909020615649,-0.1402208907059779,0.0688435021786261
Ahmet Davutoğlu,Adalet ve Kalkınma Partisi,144,0,Neutral,0.018289208987269878,-0.37885257134108974,0.2913060742722904
Ahmet Demircan,Adalet ve Kalkınma Partisi,45,-1,Pole -,-0.21878383130939527,0.6080874714830566,0.4362947026184992
Ahmet Eşref Fakıbaba,Adalet ve Kalkınma Partisi,59,-1,Pole -,-0.20887299062114045,0.48787184445552806,0.3183588098176992
Ahmet Gündoğdu,Adalet ve Kalkınma Partisi,98,-1,Pole -,-0.044228986702214965,0.6824065491984846,0.09083601585375546
Ahmet Kenan Tanrıkulu,Milliyetçi Hareket Partisi,430,0,Neutral,-0.0027988855009098493,0.1717707906317245,0.05911434534026147
Ahmet Selim Yurdakul,Milliyetçi Hareket Partisi,402,-1,Pole -,-0.05211119231097701,0.22485080641939847,0.04601834852144812
Ahmet Yıldırım,Halkların Demokratik Partisi,2294,0,Neutral,-0.014301289543812537,0.3432904800540708,0.2159994231289085
Akif Hamzaçebi,Cumhuriyet Halk Partisi,53,0,Neutral,0.0035456820164361737,-0.36424042675197255,-0.12418455878919057
Akın Üstündağ,Cumhuriyet Halk Partisi,141,0,Neutral,0.011639910869403821,-0.17275065918295374,-0.3674497486470052
Ali Akyıldız,Cumhuriyet Halk Partisi,119,1,Pole +,0.04752880170922746,-0.6791055918436794,-0.2122637662106042
Ali Atalan,Halkların Demokratik Partisi,63,1,Pole +,0.041037252998144626,-0.5268821482031308,0.6954721258801119
Ali Babacan,Adalet ve Kalkınma Partisi,157,0,Neutral,0.013488230101573895,-0.4179776432821093,-0.3653399166729755
Ali Cumhur Taşkın,Adalet ve Kalkınma Partisi,96,1,Pole +,0.02420595622901872,-0.3625535505530279,-0.31268983384834564
Ali Haydar Hakverdi,Cumhuriyet Halk Partisi,62,-1,Pole -,-0.11662200750062977,0.7225762922366451,0.35258771747168705
Ali Yiğit,Cumhuriyet Halk Partisi,52,0,Neutral,-0.012610818154445546,0.41329785338096037,-0.3449300955744817
Ali Özcan,Cumhuriyet Halk Partisi,131,1,Pole +,0.03062951796474877,-0.7673903621136561,-0.13430543043611468
Ali Özkaya,Adalet ve Kalkınma Partisi,127,1,Pole +,0.043975687941438975,-0.4528526249121562,-0.3183311872220264
Ali Şeker,Cumhuriyet Halk Partisi,214,0,Neutral,-0.004036659904890478,-0.08538688735037205,0.9123383968520659
Alican Önlü,Halkların Demokratik Partisi,116,-1,Pole -,-0.07187830308347089,0.7249875605302858,-0.22204194304698918
Alim Tunç,Adalet ve Kalkınma Partisi,58,0,Neutral,0.008649965061560266,-0.3387314690794466,-0.14463836029551597
Altan Tan,Saadet Partisi,73,-1,Pole -,-0.034247184415313,0.631373122590118,-0.22670888016357996
Arzu Erdem,Milliyetçi Hareket Partisi,521,0,Neutral,0.0038861796378804637,-0.2885482433967782,-0.06973052794446168
Atay Uslu,Adalet ve Kalkınma Partisi,44,0,Neutral,-0.0006894735800972455,0.11362971983614051,-0.03138266747730557
Atila Kaya,Milliyetçi Hareket Partisi,100,1,Pole +,0.05374780762142514,-0.67444260817433,0.45164085478715044
Atila Sertel,Cumhuriyet Halk Partisi,103,-1,Pole -,-0.05051375197596281,0.5983160912924493,0.30161878083517946
Aycan İrmez,Halkların Demokratik Partisi,168,-1,Pole -,-0.026822625535893218,0.5092627043937243,0.023158633140870508
Ayhan Bilgen,Halkların Demokratik Partisi,997,-1,Pole -,-0.025171976779024254,0.69250218299347,-0.09782280771224516
