speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
İlknur İnceöz,Adalet ve Kalkınma Partisi,-1,Pole -,775.0,0.0,8.029253097842515,8.401930945926056,0.0,8.401930945926056,8.029253097842515,0.0,0.4886594341567796,2.941968385214932,0.0
Mustafa Mit,Milliyetçi Hareket Partisi,1,Pole +,248.0,7.1923317389372965,0.0,0.0,7.209348300913261,7.1923317389372965,7.209348300913261,0.0,0.4994092160453608,2.941018025567499,0.0
Ahmet Demircan,Adalet ve Kalkınma Partisi,-1,Pole -,45.0,0.0,10.031386784192069,9.070284211042509,0.0,9.070284211042509,10.031386784192069,0.0,0.4748424477015907,2.9301309528585042,0.0
Nursel Aydoğan,Halkların Demokratik Partisi,1,Pole +,87.0,6.878437273978205,0.0,0.0,6.803515933361118,6.878437273978205,6.803515933361118,0.0,0.4972620377925492,2.9029525244463996,0.0
Zeynep Altıok,Cumhuriyet Halk Partisi,-1,Pole -,89.0,0.0,8.517231788611733,9.570136794218637,0.0,9.570136794218637,8.517231788611733,0.0,0.47089391412225173,2.880127833608025,0.0
Recep Akdağ,Adalet ve Kalkınma Partisi,1,Pole +,127.0,7.409363865201978,0.0,0.0,7.9534595723097,7.409363865201978,7.9534595723097,0.0,0.4822918062462471,2.8712888960393963,0.0
Kamil Aydın,Milliyetçi Hareket Partisi,0,Neutral,661.0,4.194802968655306,1.518626115835898,0.29790718964648943,2.3918488726787914,4.492710158301795,3.9104749885146894,0.2657994162721521,0.4653562809491115,2.864300840992958,0.4677332332807015
Veli Ağbaba,Cumhuriyet Halk Partisi,0,Neutral,195.0,1.0204145352782494,2.1849266503567564,2.0727956261734617,1.0668371016833293,3.093210161451711,3.2517637520400857,0.31834818069694765,0.48750557577342896,2.8439840502689155,1.486828913121922
Salih Çetinkaya,Adalet ve Kalkınma Partisi,1,Pole +,42.0,7.562614226775668,0.0,0.0,8.368201414921293,7.562614226775668,8.368201414921293,0.0,0.4747160720702043,2.84337783233928,0.0
Cengiz Aydoğdu,Adalet ve Kalkınma Partisi,-1,Pole -,94.0,0.0,6.215388040370271,6.368602381559631,0.0,6.368602381559631,6.215388040370271,0.0,0.49391233078538505,2.8422060758557546,0.0
Fatma Kaplan Hürriyet,Cumhuriyet Halk Partisi,-1,Pole -,266.0,0.0,6.559256868094872,6.284125694520762,0.0,6.284125694520762,6.559256868094872,0.0,0.4892889909176444,2.8255529795723695,0.0
Mustafa Akaydın,Cumhuriyet Halk Partisi,1,Pole +,72.0,6.217291299382382,0.0,0.0,6.01938624176971,6.217291299382382,6.01938624176971,0.0,0.4919134479955469,2.8169803122700334,0.0
Necati Yılmaz,Cumhuriyet Halk Partisi,-1,Pole -,410.0,0.0,8.631196470623891,7.528757452122576,0.0,7.528757452122576,8.631196470623891,0.0,0.46588978456549557,2.7971483271293214,0.0
Celal Adan,Milliyetçi Hareket Partisi,-1,Pole -,103.0,0.0,5.851670945253796,6.105817986453182,0.0,6.105817986453182,5.851670945253796,0.0,0.48937289243462206,2.7911741126617957,0.0
Emre Köprülü,Cumhuriyet Halk Partisi,-1,Pole -,47.0,0.35681206341446486,7.222596029279597,7.855959927480396,0.0,8.212771990894861,7.222596029279597,0.047076507690795334,0.4679250938086825,2.7879563983003,0.0
Selina Doğan,Cumhuriyet Halk Partisi,0,Neutral,118.0,2.8649472618529357,0.0,0.0,2.72114255701071,2.8649472618529357,2.72114255701071,0.0,0.4871283213768897,2.7708999164237174,0.0
Müslüm Doğan,Halkların Demokratik Partisi,-1,Pole -,773.0,0.0,6.316390841320411,6.933894128271569,0.0,6.933894128271569,6.316390841320411,0.0,0.4766984902844859,2.767668121657587,0.0
Kamil Okyay Sındır,Cumhuriyet Halk Partisi,1,Pole +,118.0,5.3119890863671815,0.0,0.0,5.450541355407162,5.3119890863671815,5.450541355407162,0.0,0.49356321123658237,2.76329074833677,0.0
Bekir Bozdağ,Adalet ve Kalkınma Partisi,1,Pole +,1631.0,7.897814601581997,0.0,0.0,6.9093085240549525,7.897814601581997,6.9093085240549525,0.0,0.46662058962862296,2.7608456166243736,0.0
Altan Tan,Saadet Partisi,-1,Pole -,73.0,0.0,6.038605287539524,5.657865652269853,0.0,5.657865652269853,6.038605287539524,0.0,0.48372416610974267,2.7483160929818173,0.0
Atila Kaya,Milliyetçi Hareket Partisi,1,Pole +,100.0,6.105155811707846,0.0,0.633220812943347,7.719154186997118,6.738376624651193,7.719154186997118,0.0,0.46608073757353213,2.7465458184059575,0.4053128262817253
Haydar Ali Yıldız,Adalet ve Kalkınma Partisi,1,Pole +,80.0,5.744586232189031,0.0,0.0,6.178965933473863,5.744586232189031,6.178965933473863,0.0,0.48178480304303456,2.7465301549446886,0.0
Ziya Pir,Halkların Demokratik Partisi,-1,Pole -,173.0,0.0,4.555353283385634,5.059341675808652,0.6074275980381749,5.059341675808652,5.162780881423809,0.0,0.4949404242599375,2.745600595849316,0.5317248683819111
Erol Dora,Halkların Demokratik Partisi,1,Pole +,1536.0,5.687472533107643,0.0,0.0,5.403570663193957,5.687472533107643,5.403570663193957,0.0,0.48720129991997696,2.7422679182532335,0.0
İmran Kılıç,Adalet ve Kalkınma Partisi,1,Pole +,57.0,7.419757039170733,0.0,0.33450620046693263,6.729322493053334,7.754263239637666,6.729322493053334,0.0,0.46461716157759997,2.7387554376922374,0.24527465066994214
Mahmut Atilla Kaya,Adalet ve Kalkınma Partisi,1,Pole +,169.0,6.6630418233643,0.0,0.0,6.006011163224681,6.6630418233643,6.006011163224681,0.0,0.4740694643165804,2.731204445794897,0.0
Sezgin Tanrıkulu,Cumhuriyet Halk Partisi,-1,Pole -,521.0,0.0,5.417186603196672,5.159723305871836,0.0,5.159723305871836,5.417186603196672,0.0,0.4878289925642768,2.7227315808360855,0.0
Serap Yaşar,Adalet ve Kalkınma Partisi,1,Pole +,88.0,6.2617306229203455,0.0,0.0,7.1477216930221665,6.2617306229203455,7.1477216930221665,0.0,0.46696393520925555,2.7167094178565407,0.0
Deniz Baykal,Cumhuriyet Halk Partisi,-1,Pole -,269.0,0.0,5.6237779769344165,5.268141651773716,0.0,5.268141651773716,5.6237779769344165,0.0,0.48367430451879717,2.7136850317014303,0.0
Orhan Sarıbal,Cumhuriyet Halk Partisi,0,Neutral,165.0,0.0,2.5414800516647977,2.744253436541811,0.0,2.744253436541811,2.5414800516647977,0.0,0.48081880345546424,2.704673185968566,0.0
Mustafa Savaş,Adalet ve Kalkınma Partisi,0,Neutral,146.0,2.4904474671718093,0.0,0.2945916770210815,3.1634541819713187,2.785039144192891,3.1634541819713187,0.0,0.46819236250544577,2.6967987881163538,0.38089230171336297
Hişyar Özsoy,Halkların Demokratik Partisi,-1,Pole -,144.0,0.0,4.5802201894400625,4.51219621895919,0.0,4.51219621895919,4.5802201894400625,0.0,0.4962593017951447,2.695038442905395,0.0
Alican Önlü,Halkların Demokratik Partisi,-1,Pole -,116.0,0.0,6.175389880160391,7.216510259292853,0.0,7.216510259292853,6.175389880160391,0.0,0.46112872821581435,2.6821590796886494,0.0
İlyas Şeker,Adalet ve Kalkınma Partisi,1,Pole +,90.0,7.732939683025398,0.0,0.0,9.820471405506574,7.732939683025398,9.820471405506574,0.0,0.4405377190554694,2.6812888996268374,0.0
Barış Yarkadaş,Cumhuriyet Halk Partisi,-1,Pole -,151.0,0.0,4.474808885844484,4.582332363292506,0.0,4.582332363292506,4.474808885844484,0.0,0.49406416023122113,2.6812051911064065,0.0
Talip Küçükcan,Adalet ve Kalkınma Partisi,1,Pole +,60.0,5.446134480685581,1.1215896938817664,0.0,4.963848444140071,5.446134480685581,6.085438138021837,0.1707729593843485,0.4722802917078418,2.6766142085298728,0.0
Osman Aşkın Bak,Adalet ve Kalkınma Partisi,1,Pole +,282.0,7.645028464189466,0.0,0.0,9.756688760252617,7.645028464189466,9.756688760252617,0.0,0.4393260943817714,2.6701100858045916,0.0
Fatma Güldemet Sarı,Adalet ve Kalkınma Partisi,0,Neutral,49.0,2.5425567358613517,0.7937316248924305,0.5680794882160277,1.9137822962861257,3.1106362240773793,2.707513921178556,0.23790857948357638,0.4653564884228505,2.6686873739996124,0.9485014084229376
Celal Doğan,Halkların Demokratik Partisi,-1,Pole -,358.0,0.0,4.160883871370675,4.095523183952664,0.0,4.095523183952664,4.160883871370675,0.0,0.4960418201299829,2.6462334848588025,0.0
