party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Adalet ve Kalkınma Partisi,1319.2499999999998,0.6974549187575295,0.4,0.5159542346974121,opposition,total,2015
Cumhuriyet Halk Partisi,1164.1,0.6008793756033851,0.0,0.48132471676119926,opposition,total,2015
Milliyetçi Hareket Partisi,933.45,0.5921223952415648,0.0,0.47533694705981205,opposition,total,2015
Halkların Demokratik Partisi,745.1500000000001,0.6798664935389422,0.4,0.4944357354302573,opposition,total,2015
İYİ Parti,71.95,0.38970201021545103,0.0,0.12971580447723544,opposition,total,2015
Bağımsız,6.050000000000001,0.3809917227279346,0.0,0.12198215070567002,opposition,total,2015
Cumhuriyet Halk Partisi,18745.600000000002,0.7663061248416001,0.4,0.5046688384119807,opposition,total,2016
Adalet ve Kalkınma Partisi,16713.3,0.6687177943433501,0.0,0.473140841343479,opposition,total,2016
Halkların Demokratik Partisi,13387.249999999998,0.4688384209294959,0.0,0.1639709796334225,opposition,total,2016
Milliyetçi Hareket Partisi,11814.349999999999,0.7733947909856626,0.4,0.5019379509045914,opposition,total,2016
İYİ Parti,769.0999999999999,0.6661023450617829,0.0,0.4711580547440203,opposition,total,2016
Saadet Partisi,53.35,0.4478036199928203,0.0,0.14362801439229556,opposition,total,2016
Cumhuriyet Halk Partisi,13351.599999999999,0.47673060622420493,0.0,0.4363219816413978,opposition,total,2017
Halkların Demokratik Partisi,9711.0,0.46110712740083065,0.0,0.4187344948977226,opposition,total,2017
Adalet ve Kalkınma Partisi,9481.0,0.6369232640569187,0.4,0.5031090980004896,opposition,total,2017
Milliyetçi Hareket Partisi,6240.200000000001,0.6189280664317874,0.0,0.4884605597482485,opposition,total,2017
İYİ Parti,36.65,0.6175018257160906,0.5333333333333333,0.32752988137498495,opposition,total,2017
Saadet Partisi,24.250000000000004,0.41562108996214114,0.0,0.13181280492421088,opposition,total,2017
Bağımsız,4.0,0.42081359591163653,0.0,0.1338716902983398,opposition,total,2017
Cumhuriyet Halk Partisi,4652.95,0.6889324851703806,0.2,0.5468623742717418,opposition,total,2018
Halkların Demokratik Partisi,2862.5000000000005,0.5548476568159746,0.1,0.4722034725231184,opposition,total,2018
Adalet ve Kalkınma Partisi,2836.9999999999995,0.6251477173448082,0.2,0.4701930226789807,opposition,total,2018
Milliyetçi Hareket Partisi,1819.0000000000005,0.60256921223529,0.4,0.3671572980604197,opposition,total,2018
İYİ Parti,51.4,0.459259116761027,0.0,0.33343030145435976,opposition,total,2018
Saadet Partisi,10.45,0.36630844753994013,0.0,0.10442077436991427,opposition,total,2018
Adalet ve Kalkınma Partisi,300.7804,0.42029626960803024,0.0,0.4297711852147334,opposition,positive,2015
Cumhuriyet Halk Partisi,189.02698999999998,0.5099389283517539,0.0,0.5376166388879338,opposition,positive,2015
Milliyetçi Hareket Partisi,156.614205,0.5763419547762358,0.6000000000000001,0.561363272225926,opposition,positive,2015
Halkların Demokratik Partisi,97.47636500000002,0.5029939766508602,0.4,0.4327350299739497,opposition,positive,2015
İYİ Parti,19.604889999999997,0.27586108389506603,0.0,0.10415946745330919,opposition,positive,2015
Bağımsız,0.675,0.30142143828504653,0.0,0.11413830960309963,opposition,positive,2015
Adalet ve Kalkınma Partisi,3850.310425,0.745775941545899,0.4,0.5044973058557769,opposition,positive,2016
Cumhuriyet Halk Partisi,3107.698735,0.732693039349773,0.4,0.4984104747464951,opposition,positive,2016
Halkların Demokratik Partisi,2149.548695,0.4568219953997925,0.0,0.17091166690374876,opposition,positive,2016
Milliyetçi Hareket Partisi,2014.866215,0.6615129428041283,0.0,0.4800237653650892,opposition,positive,2016
İYİ Parti,155.52303,0.6327348289134782,0.0,0.46105919247125016,opposition,positive,2016
Saadet Partisi,8.48359,0.4453920548526317,0.0,0.15767141429535836,opposition,positive,2016
Adalet ve Kalkınma Partisi,2475.7500450000002,0.7442551173416493,0.6000000000000001,0.5323095487083441,opposition,positive,2017
Cumhuriyet Halk Partisi,2156.0365549999997,0.6305371529565481,0.30000000000000004,0.4652585247837,opposition,positive,2017
Halkların Demokratik Partisi,1687.0962949999998,0.44394143812629705,0.0,0.3211454252388588,opposition,positive,2017
Milliyetçi Hareket Partisi,1404.429995,0.6541597030013829,0.0,0.47307068555280485,opposition,positive,2017
Saadet Partisi,1.175,0.49960834713291874,0.0,0.29432192560932835,opposition,positive,2017
İYİ Parti,0.675,0.49960834713291874,0.0,0.29432192560932835,opposition,positive,2017
Cumhuriyet Halk Partisi,835.50272,0.5976047903433147,0.0,0.5190652397818409,opposition,positive,2018
