party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.3652331013360008,1.72511935215157,0.35988625081556913,26,2016-07,15 July coup
Cumhuriyet Halk Partisi,1.3104145641512408,1.6649299138111382,0.3545153496598974,26,2016-07,15 July coup
Halkların Demokratik Partisi,1.3685211549317071,1.728950708637579,0.36042955370587193,26,2016-07,15 July coup
Milliyetçi Hareket Partisi,1.2326723767406578,1.2676534522184322,0.034981075477774404,26,2016-07,15 July coup
Saadet Partisi,1.318666678936511,3.008755098078184,1.6900884191416732,26,2016-07,15 July coup
İYİ Parti,1.7854441879938006,0.6965583193398599,-1.0888858686539407,26,2016-07,15 July coup
Adalet ve Kalkınma Partisi,1.1881166186010303,1.4343063070608462,0.24618968845981581,26,2016-11,HDP arrests
Bağımsız,0.0,0.9781633397117526,0.9781633397117526,26,2016-11,HDP arrests
Cumhuriyet Halk Partisi,0.9701025209616297,1.2638937409978694,0.2937912200362397,26,2016-11,HDP arrests
Halkların Demokratik Partisi,0.5503596497937029,0.9665974589659002,0.4162378091721973,26,2016-11,HDP arrests
Milliyetçi Hareket Partisi,0.6837200102262236,1.2575036342383137,0.57378362401209,26,2016-11,HDP arrests
Saadet Partisi,0.0,0.0,0.0,26,2016-11,HDP arrests
İYİ Parti,1.1604630599189283,1.706298000570836,0.5458349406519076,26,2016-11,HDP arrests
Adalet ve Kalkınma Partisi,1.291975702533561,1.2605090861511852,-0.0314666163823758,26,2017-04,Referendum
Cumhuriyet Halk Partisi,0.9334395833019927,1.5613319793360414,0.6278923960340487,26,2017-04,Referendum
Halkların Demokratik Partisi,0.8594541465971854,1.2222269695475576,0.36277282295037216,26,2017-04,Referendum
Milliyetçi Hareket Partisi,1.228686740214012,0.6516236507893625,-0.5770630894246496,26,2017-04,Referendum
İYİ Parti,0.0,1.5067939835424,1.5067939835424,26,2017-04,Referendum
