party,center,left,right,n_years,ideology_ref,boot_q10,boot_q25,boot_median,boot_q75,boot_q90,boot_std
Halkların Demokratik Partisi,-1.6794700131306148,-2.4079569152239033,-0.7046157223022411,4,-2.0,-1.7009098147862522,-1.5806204239424857,-1.3911158693680497,-1.2291535585393323,-1.0928541126664297,0.2341167946082651
Cumhuriyet Halk Partisi,-0.7390524931701359,-1.9475019539428269,0.0927615680216719,4,-1.0,-1.135577056900623,-0.956828631857091,-0.7960859059440815,-0.5951869444939504,-0.4396818929888018,0.27291181577165813
Milliyetçi Hareket Partisi,-0.2519669680851251,-0.6797972421937392,0.50214306588931,4,1.2,-0.5810070144227206,-0.4028420834368929,-0.2324805854748939,-0.057716440116955176,0.16124842406426154,0.2952408937904402
Bağımsız,-0.2078599895989681,-0.46744759542160524,0.05172761622366906,2,0.0,,,,,,
Saadet Partisi,-0.048028431929634186,-0.29129955527687523,0.5609226707532398,3,0.2,-1.147816615323782,-0.744917555255428,-0.19086052528343161,0.23498643897529883,0.8737481705930585,0.8560298422882163
İYİ Parti,0.6535617821673935,-1.5604123176436988,2.501804639001881,4,0.3,-2.579845151908299,-1.7093564615170487,-0.9752274294395399,-0.3007393939368613,0.26236564602901047,1.1456491291620048
Adalet ve Kalkınma Partisi,1.8544558948819747,1.2852143047105664,3.4374294640072005,4,0.8,1.2219613951222201,1.421025168443529,1.5923036012801473,1.7375290249054574,1.8630475442762313,0.25016239732623446
