layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,7,12,68,11,24,0.5238095238095238,0.36363636363636365,,0.5234478219025547,0.15238095238095237,0.5151257203779994,0.09393939393939393,2.021194498962129,2.021639696371419
positive,7,12,57,11,24,0.5238095238095238,0.36363636363636365,,0.5050972775923679,0.12380952380952381,0.5089063815588207,0.0909090909090909,2.121911845332239,2.031707694845592
negative,7,12,60,11,24,0.5238095238095238,0.36363636363636365,,0.577553738184049,0.1142857142857143,0.5270218337142011,0.08181818181818182,1.8084278827682483,1.9506445395732401
