party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,37914.25000000001,0.5874321314405978,0.2,0.47512952639342193,opposition,total
Adalet ve Kalkınma Partisi,30350.550000000003,0.5968243839598472,0.0,0.47582340034452975,opposition,total
Halkların Demokratik Partisi,26705.899999999994,0.4451854668485246,0.0,0.3733417803428481,opposition,total
Milliyetçi Hareket Partisi,20807.0,0.6632012225842335,0.5333333333333333,0.41828335095963964,opposition,total
İYİ Parti,929.0999999999999,0.583164574073952,0.0,0.4700499771020076,opposition,total
Saadet Partisi,88.05,0.4758310165237946,0.3333333333333333,0.1093335048953996,opposition,total
Bağımsız,10.05,0.31249595788693324,0.0,0.024457758029493265,opposition,total
Adalet ve Kalkınma Partisi,7287.472275000001,0.5453532944462955,0.06666666666666667,0.463515588607387,opposition,positive
Cumhuriyet Halk Partisi,6288.265,0.6069432241096536,0.26666666666666666,0.45978303592920033,opposition,positive
Halkların Demokratik Partisi,4452.125575,0.5317346033988517,0.3333333333333333,0.28017729963093096,opposition,positive
Milliyetçi Hareket Partisi,3992.349535,0.6638271848271956,0.2,0.5254424278330343,opposition,positive
İYİ Parti,184.73231,0.47287260017168636,0.0,0.37432441369637315,opposition,positive
Saadet Partisi,9.65859,0.434920216800031,0.0,0.2776770078125534,opposition,positive
Bağımsız,0.675,0.280029819392862,0.0,0.04405119109916185,opposition,positive
Cumhuriyet Halk Partisi,7109.4546199999995,0.6444470520607324,0.26666666666666666,0.44997842542141103,opposition,negative
Halkların Demokratik Partisi,5342.18271,0.43943414225128846,0.0,0.24878419724840156,opposition,negative
Adalet ve Kalkınma Partisi,4527.128275,0.6639990106442164,0.2,0.46355683912872575,opposition,negative
Milliyetçi Hareket Partisi,3631.3283899999997,0.651814578528418,0.0,0.4534492477624154,opposition,negative
İYİ Parti,136.483685,0.7385382021479914,0.3333333333333333,0.47970844394781265,opposition,negative
Saadet Partisi,30.421015,0.42536559727647294,0.0,0.12710327763385626,opposition,negative
Bağımsız,1.80009,0.47927758437922297,0.0,0.26239139100839326,opposition,negative
