year,party,position,party_short
2015,Adalet ve Kalkınma Partisi,3.4374294640072005,AKP
2015,Bağımsız,-0.46744759542160524,IND
2015,Cumhuriyet Halk Partisi,-1.9475019539428269,CHP
2015,Halkların Demokratik Partisi,-2.4079569152239033,HDP
2015,Milliyetçi Hareket Partisi,0.50214306588931,MHP
2015,İYİ Parti,1.2106255185757728,IYI
2016,Adalet ve Kalkınma Partisi,1.2852143047105664,AKP
2016,Cumhuriyet Halk Partisi,-0.933021437475008,CHP
2016,Halkların Demokratik Partisi,-1.6991089700415816,HDP
2016,Milliyetçi Hareket Partisi,-0.3746518105755723,MHP
2016,Saadet Partisi,-0.29129955527687523,SP
2016,İYİ Parti,-1.5604123176436988,IYI
2017,Adalet ve Kalkınma Partisi,1.5173242458887803,AKP
2017,Bağımsız,0.05172761622366906,IND
2017,Cumhuriyet Halk Partisi,-0.5450835488652638,CHP
2017,Halkların Demokratik Partisi,-0.7046157223022411,HDP
2017,Milliyetçi Hareket Partisi,-0.12928212559467783,MHP
2017,Saadet Partisi,0.5609226707532398,SP
2017,İYİ Parti,0.09649804575901402,IYI
2018,Adalet ve Kalkınma Partisi,2.191587543875169,AKP
2018,Cumhuriyet Halk Partisi,0.0927615680216719,CHP
2018,Halkların Demokratik Partisi,-1.659831056219648,HDP
2018,Milliyetçi Hareket Partisi,-0.6797972421937392,MHP
2018,Saadet Partisi,-0.048028431929634186,SP
2018,İYİ Parti,2.501804639001881,IYI
