layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,year
total,6,12,52,8,24,0.5333333333333333,0.36363636363636365,,0.5568361526808012,0.13333333333333333,0.4859742956516195,0.09545454545454546,1.9080868614471496,2.173426487895575,2015
total,6,12,63,8,24,0.5333333333333333,0.36363636363636365,,0.6318605160257853,0.13333333333333333,0.46320358735097894,0.11666666666666664,1.6601141433938098,2.2465913903549257,2016
total,7,12,59,11,24,0.5238095238095238,0.36363636363636365,,0.5210893679576586,0.13333333333333333,0.5001509295944369,0.09848484848484847,1.9791248302673896,2.1128201024705318,2017
total,6,12,56,8,24,0.5333333333333333,0.36363636363636365,,0.5495107726445702,0.15,0.46003443121355686,0.1196969696969697,1.9033932822124322,2.29565204364184,2018
positive,6,10,36,7,16,0.4666666666666667,0.35555555555555557,,0.4311422752611654,0.16666666666666666,0.4271763149352924,0.1388888888888889,2.501016099028099,2.4059917560484516,2015
positive,6,12,54,8,24,0.5333333333333333,0.36363636363636365,,0.6124884671442837,0.13333333333333333,0.4538643009818195,0.11212121212121212,1.7053483057223469,2.3205137759973264,2016
positive,6,12,46,8,24,0.5333333333333333,0.36363636363636365,,0.5786850176152858,0.15000000000000002,0.50050387354789,0.09393939393939395,1.7856563982121627,2.092300551354161,2017
positive,5,10,43,5,16,0.5,0.35555555555555557,,0.5545836716177048,0.2,0.42975316769530575,0.15833333333333333,1.8945824192158345,2.5008879756061777,2018
negative,6,12,42,8,23,0.5333333333333333,0.3484848484848485,,0.6409505479262949,0.11666666666666668,0.4624916263583183,0.09696969696969697,1.604285138354533,2.23414261078654,2015
negative,6,12,57,8,24,0.5333333333333333,0.36363636363636365,,0.5973519240049193,0.15,0.5099142140124316,0.0893939393939394,1.7557127317298757,2.0403332017254905,2016
negative,6,12,52,8,24,0.5333333333333333,0.36363636363636365,,0.4777173586061436,0.16666666666666666,0.48856843952279044,0.09242424242424242,2.1780933697550706,2.111051725689988,2017
negative,6,12,48,8,24,0.5333333333333333,0.36363636363636365,,0.5432524952470256,0.11666666666666665,0.45256406652810294,0.11363636363636365,1.9172457079432321,2.354208737554322,2018
