concept_slug,weight,abs_weight
european_union,-0.4335183525527844,0.4335183525527844
sovereignty,-0.3600765007352119,0.3600765007352119
constitution,-0.05901871589640576,0.05901871589640576
democracy,-0.04948183970714745,0.04948183970714745
imf,-0.036150470781619704,0.036150470781619704
security,0.07207732890379714,0.07207732890379714
inflation,0.07847503745305694,0.07847503745305694
tutelage,0.18538194172348696,0.18538194172348696
reform,0.3164638455128861,0.3164638455128861
economy,0.35980289449896374,0.35980289449896374
interest,0.44656701151602773,0.44656701151602773
law_state,0.44768148548971726,0.44768148548971726
