concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Hukuk Devleti,28131.4,0.44255180072921296,0.07272727272727272,0.21359064642378914,democratic_reform,total
Guvenlik,27201.5,0.6233649964805269,0.21818181818181817,0.38245673174627026,security_conflict,total
Ekonomi,24145.100000000006,0.7038870691283947,0.36363636363636365,0.46391000561435924,macro_economy,total
Anayasa,14703.65,0.5541979599223846,0.09090909090909091,0.2926050369467289,constitutional_conflict,total
Demokrasi,12927.999999999998,0.3751341430926361,0.0,0.10513093344205623,democratic_reform,total
Reform,2092.3999999999996,0.528956465875123,0.0,0.31085808256205244,democratic_reform,total
Faiz,2034.95,0.5579156494691355,0.18181818181818182,0.32022549497892916,macro_economy,total
Avrupa Birligi,1845.8500000000001,0.5327693411424445,0.09090909090909091,0.27717204154521197,democratic_reform,total
Vesayet,1463.8500000000001,0.38533161492497997,0.0,0.0757906538520583,constitutional_conflict,total
Enflasyon,1201.15,0.3643689794795924,0.0,0.06605013082483999,macro_economy,total
Egemenlik,836.7,0.5882680790623386,0.10909090909090909,0.339588826824935,security_conflict,total
IMF,220.35,0.5247625452292232,0.0,0.3078868297597132,macro_economy,total
Ekonomi,6600.763010000001,0.5524397169841172,0.0,0.31936286269635333,macro_economy,positive
Hukuk Devleti,5516.003820000001,0.473241147110968,0.07272727272727272,0.2792442788032857,democratic_reform,positive
Guvenlik,3214.8730199999995,0.6875336489797396,0.36363636363636365,0.4136765599177483,security_conflict,positive
Demokrasi,2695.8610049999997,0.39571953858910197,0.0,0.1964162779946638,democratic_reform,positive
Anayasa,2455.0532100000005,0.5739514629210946,0.18181818181818182,0.35051394133328534,constitutional_conflict,positive
Reform,594.639675,0.4896840352886907,0.01818181818181818,0.2608387733116989,democratic_reform,positive
Avrupa Birligi,508.54472,0.4731555977977333,0.0,0.2786717777124831,democratic_reform,positive
Faiz,301.391685,0.579435168020114,0.19999999999999998,0.3406738385386063,macro_economy,positive
Enflasyon,240.04766,0.4258106049455452,0.0,0.11097596780378115,macro_economy,positive
Egemenlik,74.00822,0.6462163282332246,0.2545454545454545,0.4292160659983591,security_conflict,positive
IMF,10.35839,0.3819072990596344,0.0,0.1291502722463456,macro_economy,positive
Vesayet,3.7338699999999996,0.42778203077588506,0.0,0.1117449862282645,constitutional_conflict,positive
Guvenlik,6465.150075,0.47536466226756907,0.0,0.19344609004658275,security_conflict,negative
Hukuk Devleti,4728.219419999999,0.45203875232326457,0.0,0.2109674782786338,democratic_reform,negative
Ekonomi,3918.666285,0.6805197980183443,0.16363636363636364,0.45076312874076196,macro_economy,negative
Anayasa,2013.3468,0.5693986225207807,0.18181818181818182,0.2876299646122971,constitutional_conflict,negative
Demokrasi,1647.96139,0.44116970711350034,0.0,0.203635086591323,democratic_reform,negative
Vesayet,963.624145,0.45886440686428365,0.0,0.18439784428673672,constitutional_conflict,negative
Faiz,321.52302,0.453312354663918,0.0,0.25313396570298546,macro_economy,negative
Enflasyon,220.766415,0.5641470237417855,0.0,0.3284300660245049,macro_economy,negative
Reform,217.24649499999998,0.5713818967935197,0.09090909090909091,0.3315695949355377,democratic_reform,negative
Avrupa Birligi,149.34097,0.7279975786222443,0.509090909090909,0.4559441985922039,democratic_reform,negative
Egemenlik,97.2124,0.4942797254756875,0.03636363636363636,0.21716447253760573,security_conflict,negative
IMF,35.741369999999996,0.4357874761655153,0.0,0.14055637872839225,macro_economy,negative
