party,Adalet ve Kalkınma Partisi,Bağımsız,Cumhuriyet Halk Partisi,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi,Saadet Partisi,İYİ Parti
Adalet ve Kalkınma Partisi,1.0,-0.2686594186403186,-0.1314036865180999,-0.3112273432121735,-0.42900686150822015,-0.49974881629353024,-0.11126802302288358
Bağımsız,-0.2686594186403186,1.0,-0.24785663521564238,-0.21584489252826053,-0.020983498815314104,0.19255131077935983,-0.43114215402203604
Cumhuriyet Halk Partisi,-0.1314036865180999,-0.24785663521564238,0.9999999999999999,0.534705830867256,0.17578935634658455,-0.226104308549321,-0.2995001074175294
Halkların Demokratik Partisi,-0.3112273432121735,-0.21584489252826053,0.534705830867256,1.0000000000000002,0.28461989480135724,-0.14601955050990956,-0.23324273684834645
Milliyetçi Hareket Partisi,-0.42900686150822015,-0.020983498815314104,0.17578935634658455,0.28461989480135724,1.0,-0.11155313986440023,-0.11206734382595604
Saadet Partisi,-0.49974881629353024,0.19255131077935983,-0.226104308549321,-0.14601955050990956,-0.11155313986440023,1.0,-0.19286444369473077
İYİ Parti,-0.11126802302288358,-0.43114215402203604,-0.2995001074175294,-0.23324273684834645,-0.11206734382595604,-0.19286444369473077,1.0
