party,avg_gatekeeper_score,median_gatekeeper_score,avg_cross_pressure,n_speakers
Saadet Partisi,2.7483160929818173,2.7483160929818173,0.0,1
İYİ Parti,1.8762871106950143,2.0804865910339405,0.2521840411968169,5
Halkların Demokratik Partisi,1.8671537492495867,1.971582219364605,0.23454240103420762,44
Adalet ve Kalkınma Partisi,1.7069415614107388,1.9776756962032895,0.1202821986045346,129
Cumhuriyet Halk Partisi,1.7013410020245938,1.9253972249351323,0.18498017775810238,112
Milliyetçi Hareket Partisi,1.5968392075839548,1.7868443447868987,0.10750570058669982,31
