layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,4,11,30,3,20,0.5,0.36363636363636365,,0.6197895931288231,0.25,0.4276111962688107,0.15555555555555556,1.6950933040504115,2.4535401672076365
positive,4,9,17,3,13,0.5,0.3611111111111111,,0.4763508287237175,0.3333333333333333,0.4982738979166539,0.15476190476190474,2.2359865079674397,2.1119468816590308
negative,4,8,16,3,9,0.5,0.32142857142857145,,0.6304620896506334,0.25,0.3664446940029155,0.22023809523809523,1.6683694804476905,2.863969046760476
