party,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi
Adalet ve Kalkınma Partisi,1.0,-0.5593587974688828,-0.45869442076930994,-0.6738813291377379
Cumhuriyet Halk Partisi,-0.5593587974688828,0.9999999999999999,-0.30185995597513965,0.225511652112708
Halkların Demokratik Partisi,-0.45869442076930994,-0.30185995597513965,1.0,0.017356901842730935
Milliyetçi Hareket Partisi,-0.6738813291377379,0.225511652112708,0.017356901842730935,1.0000000000000002
