party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Adalet ve Kalkınma Partisi,521.8000000000001,0.5356324817306165,0.0,0.4139972279770911,opposition,total
Milliyetçi Hareket Partisi,138.89999999999998,0.548262925195653,0.0,0.43965792155877154,opposition,total
Halkların Demokratik Partisi,97.89999999999999,0.5103559245336643,0.0,0.3678412833395354,opposition,total
Cumhuriyet Halk Partisi,90.94999999999999,0.8849070410553582,1.0,0.7071067794251651,opposition,total
Adalet ve Kalkınma Partisi,137.870295,0.3196732309068676,0.0,0.1725814303820532,opposition,positive
Halkların Demokratik Partisi,13.166789999999999,0.5834975172498933,0.6666666666666666,0.5289790621317448,opposition,positive
Cumhuriyet Halk Partisi,12.415889999999997,0.4187350494882157,0.0,0.4692346447420725,opposition,positive
Milliyetçi Hareket Partisi,2.8625,0.5834975172498933,0.6666666666666666,0.6857227208480737,opposition,positive
Adalet ve Kalkınma Partisi,63.374725,0.8990814190616158,1.0,0.7071067772696956,opposition,negative
Milliyetçi Hareket Partisi,29.069110000000002,0.5597427938441942,0.0,0.4384643759504617,opposition,negative
Cumhuriyet Halk Partisi,28.111150000000002,0.5612889411109999,0.0,0.44168796869818744,opposition,negative
Halkların Demokratik Partisi,18.611690000000003,0.5017352045857241,0.0,0.3356497204957966,opposition,negative
