concept_slug,weight,abs_weight
democracy,-0.540375413626001,0.540375413626001
sovereignty,-0.3086083785843399,0.3086083785843399
tutelage,-0.3086083785843399,0.3086083785843399
reform,0.0,0.0
security,0.028354444869239232,0.028354444869239232
law_state,0.06399768962703599,0.06399768962703599
economy,0.24574288052639431,0.24574288052639431
european_union,0.3086083785843399,0.3086083785843399
inflation,0.3086083785843399,0.3086083785843399
interest,0.3086083785843399,0.3086083785843399
constitution,0.4080557725794366,0.4080557725794366
