party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,0.0,0.607872270693536,0.607872270693536,25,2015-07,Violence escalation
Cumhuriyet Halk Partisi,0.0,0.2809613417203999,0.2809613417203999,25,2015-07,Violence escalation
Halkların Demokratik Partisi,0.0,0.7866472045551205,0.7866472045551205,25,2015-07,Violence escalation
Milliyetçi Hareket Partisi,0.0,0.7286442165449792,0.7286442165449792,25,2015-07,Violence escalation
Adalet ve Kalkınma Partisi,0.6748049104683047,0.0,-0.6748049104683047,25,2015-09,Conflict peak
Cumhuriyet Halk Partisi,0.38085203773578885,0.0,-0.38085203773578885,25,2015-09,Conflict peak
Halkların Demokratik Partisi,0.59222482133094,0.0,-0.59222482133094,25,2015-09,Conflict peak
Milliyetçi Hareket Partisi,0.42784168123342087,0.0,-0.42784168123342087,25,2015-09,Conflict peak
Adalet ve Kalkınma Partisi,0.0,0.0,0.0,25,2015-10,Pre-Nov election
Cumhuriyet Halk Partisi,0.0,0.0,0.0,25,2015-10,Pre-Nov election
Halkların Demokratik Partisi,0.0,0.0,0.0,25,2015-10,Pre-Nov election
Milliyetçi Hareket Partisi,0.0,0.0,0.0,25,2015-10,Pre-Nov election
