party,center,left,right,n_years,ideology_ref,boot_q10,boot_q25,boot_median,boot_q75,boot_q90,boot_std
Halkların Demokratik Partisi,-1.8851945723834032,-2.4551858277796916,-1.2461983720932792,1,-2.0,-2.4551858277796916,-2.206742384526285,-1.8851945723834032,-1.4787642469795268,-1.2461983720932792,0.48916802437057894
Cumhuriyet Halk Partisi,-0.833595067644624,-1.7620437730311866,-0.23336142123633413,1,-1.0,-1.7620437730311866,-1.2834188397317918,-0.833595067644624,-0.5153823735267785,-0.23336142123633413,0.594357540894913
Milliyetçi Hareket Partisi,-0.11320306608324376,-0.5153601559872456,0.42663338475558443,1,1.2,-0.5153601559872456,-0.36513772215699986,-0.11320306608324376,0.19180068442740228,0.42663338475558443,0.4614342538342527
Adalet ve Kalkınma Partisi,2.945298269260181,1.3813014590202812,5.254181054147556,1,0.8,1.3813014590202812,1.9919328465911008,2.945298269260181,4.209750625077881,5.254181054147556,1.6796100349939644
