month_dt,party,position
2015-07-01,Adalet ve Kalkınma Partisi,0.9910835711696147
2015-07-01,Cumhuriyet Halk Partisi,-0.3912388872362739
2015-07-01,Halkların Demokratik Partisi,-1.2723721440170714
2015-07-01,Milliyetçi Hareket Partisi,0.005553207133793481
2015-09-01,Adalet ve Kalkınma Partisi,10.823272929144144
2015-09-01,Cumhuriyet Halk Partisi,-0.4230851252343484
2015-09-01,Halkların Demokratik Partisi,-0.5086429789805096
2015-09-01,Milliyetçi Hareket Partisi,-0.41803373903531305
2015-10-01,Adalet ve Kalkınma Partisi,5.280278109521109
2015-10-01,Cumhuriyet Halk Partisi,-2.6570672802174227
2015-10-01,Halkların Demokratik Partisi,-1.8486129551972912
2015-10-01,Milliyetçi Hareket Partisi,-0.39072468239677816
