party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Adalet ve Kalkınma Partisi,4905.1,0.5547792325749487,0.0,0.5045565541795607,opposition,total,2011
Cumhuriyet Halk Partisi,3479.1,0.7679848897178251,0.6666666666666666,0.6014078631839035,opposition,total,2011
Milliyetçi Hareket Partisi,1729.85,0.5470005692706806,0.0,0.49840634669044476,opposition,total,2011
Halkların Demokratik Partisi,1369.55,0.6387627636305022,0.5,0.33514918979788905,opposition,total,2011
Bağımsız,657.3,0.4274353105409932,0.0,0.1516489363349509,opposition,total,2011
Cumhuriyet Halk Partisi,10777.0,0.773285102174796,0.6666666666666666,0.600057169639658,opposition,total,2012
Adalet ve Kalkınma Partisi,8624.050000000001,0.5498448055406769,0.0,0.49604938596908377,opposition,total,2012
Milliyetçi Hareket Partisi,6354.700000000001,0.5576879549446563,0.0,0.50205489599815,opposition,total,2012
Halkların Demokratik Partisi,3547.6,0.4326097152822749,0.0,0.15756634353216928,opposition,total,2012
Bağımsız,1865.2499999999998,0.644036324680663,0.5,0.34202357906133735,opposition,total,2012
Cumhuriyet Halk Partisi,9352.75,0.7632836662887303,0.6666666666666666,0.6027982577067889,opposition,total,2013
Adalet ve Kalkınma Partisi,9347.750000000002,0.5446999776220092,0.0,0.49459047266395983,opposition,total,2013
Milliyetçi Hareket Partisi,5918.35,0.5431869237451156,0.0,0.4933978476772822,opposition,total,2013
Halkların Demokratik Partisi,3033.6499999999996,0.4264087626163709,0.0,0.1613516055017206,opposition,total,2013
Bağımsız,1990.35,0.6367767366692506,0.5,0.35005535014500655,opposition,total,2013
Cumhuriyet Halk Partisi,10151.949999999999,0.6472133510431961,0.0,0.49736105978541256,opposition,total,2014
Milliyetçi Hareket Partisi,8293.6,0.76619734352509,0.5,0.5620931222379951,opposition,total,2014
Adalet ve Kalkınma Partisi,7786.55,0.47526168784550965,0.0,0.2372578857617001,opposition,total,2014
Halkların Demokratik Partisi,3425.0,0.47992778643334205,0.0,0.245491790316286,opposition,total,2014
