party,Adalet ve Kalkınma Partisi,Bağımsız,Cumhuriyet Halk Partisi,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi
Adalet ve Kalkınma Partisi,1.0000000000000002,-0.3934231748011277,-0.7647345895352331,-0.20704604474639773,-0.6484253324618261
Bağımsız,-0.3934231748011277,1.0,0.23076998342650026,-0.4521043606102325,-0.14414347539565048
Cumhuriyet Halk Partisi,-0.7647345895352331,0.23076998342650026,1.0,-0.197134133310038,0.7165090995311294
Halkların Demokratik Partisi,-0.20704604474639773,-0.4521043606102325,-0.197134133310038,0.9999999999999998,-0.06170712014482942
Milliyetçi Hareket Partisi,-0.6484253324618261,-0.14414347539565048,0.7165090995311294,-0.06170712014482942,0.9999999999999998
