party,pre_gatekeeper,post_gatekeeper,delta_gatekeeper,term,event_month,event_label
Adalet ve Kalkınma Partisi,1.085636638444512,1.8854797262260934,0.7998430877815814,24,2013-05,Gezi
Bağımsız,1.166550589986451,1.2660324146951951,0.09948182470874412,24,2013-05,Gezi
Cumhuriyet Halk Partisi,1.4455728430685568,1.7276833198351191,0.2821104767665623,24,2013-05,Gezi
Halkların Demokratik Partisi,1.9752538385259084,1.5170592106412892,-0.4581946278846192,24,2013-05,Gezi
Milliyetçi Hareket Partisi,1.27703220425227,1.646700722871411,0.3696685186191411,24,2013-05,Gezi
Adalet ve Kalkınma Partisi,0.8792181417871842,1.0712953861030512,0.19207724431586704,24,2013-12,17-25 Dec
Bağımsız,1.3194592023774794,0.5605218439262047,-0.7589373584512746,24,2013-12,17-25 Dec
Cumhuriyet Halk Partisi,0.9969282032884896,0.7317178679206923,-0.26521033536779737,24,2013-12,17-25 Dec
Halkların Demokratik Partisi,1.5867431084678862,0.3107027962696221,-1.2760403121982642,24,2013-12,17-25 Dec
Milliyetçi Hareket Partisi,1.0894240164670628,0.9193678090495713,-0.1700562074174915,24,2013-12,17-25 Dec
Adalet ve Kalkınma Partisi,1.4135048618286,0.8094858836912842,-0.6040189781373158,24,2014-03,Dershane dispute
Bağımsız,1.9448154854836182,1.9244419408237707,-0.02037354465984742,24,2014-03,Dershane dispute
Cumhuriyet Halk Partisi,1.50914428640719,1.0461449548770012,-0.4629993315301888,24,2014-03,Dershane dispute
Halkların Demokratik Partisi,1.6118548978013554,1.2298847872640903,-0.38197011053726504,24,2014-03,Dershane dispute
Milliyetçi Hareket Partisi,1.4785137105480768,0.9823225509529039,-0.4961911595951729,24,2014-03,Dershane dispute
