layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc
total,5,12,60,5,24,0.5,0.36363636363636365,,0.5911168223350278,0.2333333333333333,0.51194982865559,0.09696969696969697,1.755468822709549,2.0345773256065525
positive,5,12,57,5,24,0.5,0.36363636363636365,,0.5784425129613664,0.2333333333333333,0.42359072439387596,0.13939393939393938,1.7993601539796285,2.474780896268577
negative,5,12,59,5,24,0.5,0.36363636363636365,,0.6400977404090785,0.2,0.5216483971974796,0.0909090909090909,1.6339971424021738,1.9880944935280438
