concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer
Hukuk Devleti,32574.050000000003,0.5070942305855222,0.14545454545454545,0.11859757850759546,democratic_reform,total
Ekonomi,27109.399999999998,0.5957053753354983,0.16363636363636364,0.4281892894535467,macro_economy,total
Guvenlik,17951.25,0.7093600681068268,0.509090909090909,0.41997498481627776,security_conflict,total
Demokrasi,15105.65,0.35182883267500303,0.0,0.02393976322360193,democratic_reform,total
Anayasa,13093.3,0.5322131892913262,0.18181818181818182,0.12265958565829993,constitutional_conflict,total
Avrupa Birligi,2910.6499999999996,0.6255718592097067,0.12727272727272726,0.4484093079643225,democratic_reform,total
Faiz,2681.7,0.5344570289937307,0.0,0.32870672990944605,macro_economy,total
Reform,1804.15,0.4076854247314627,0.0,0.14317131330111926,democratic_reform,total
Vesayet,1293.35,0.5338041621326561,0.0,0.3160329605973713,constitutional_conflict,total
Enflasyon,1062.3,0.5312029450888532,0.0,0.32603332200303886,macro_economy,total
IMF,757.3,0.44552308554698405,0.03636363636363636,0.26903185170027016,macro_economy,total
Egemenlik,597.5,0.3689517421695121,0.0,0.04920700663702817,security_conflict,total
Ekonomi,7060.5169750000005,0.5330541532035347,0.19999999999999998,0.42711505752450735,macro_economy,positive
Hukuk Devleti,6662.781315,0.34336765626600046,0.18181818181818182,0.014210856338013528,democratic_reform,positive
Demokrasi,3408.42163,0.3334158754948857,0.0,0.013833481846989794,democratic_reform,positive
Anayasa,2324.39745,0.4426893588785683,0.43636363636363634,0.053671854587040844,constitutional_conflict,positive
Guvenlik,2247.91606,0.5030826641881224,0.0,0.35919091017282734,security_conflict,positive
Avrupa Birligi,860.7914549999999,0.5323068108515748,0.509090909090909,0.24152493649871273,democratic_reform,positive
Faiz,451.095915,0.44485435211268987,0.03636363636363636,0.42429850923406237,macro_economy,positive
Reform,444.28419499999995,0.42676119810750524,0.12727272727272726,0.3636520682773894,democratic_reform,positive
Enflasyon,217.62346499999998,0.4239953374489563,0.0,0.359047668999368,macro_economy,positive
IMF,72.077755,0.5077756662127862,0.18181818181818182,0.36599253108045765,macro_economy,positive
Egemenlik,67.78731,0.25907987645872194,0.0,0.002830928327005188,security_conflict,positive
Vesayet,3.85126,0.3327057435031658,0.0,0.22759726234126704,constitutional_conflict,positive
Hukuk Devleti,5724.621139999999,0.5596521244048512,0.18181818181818182,0.35597420421703757,democratic_reform,negative
Guvenlik,4047.999715,0.7531338736981401,0.5272727272727272,0.4838658259372741,security_conflict,negative
Ekonomi,3992.2529050000003,0.5615470831939029,0.05454545454545454,0.3949800934007297,macro_economy,negative
Demokrasi,1718.77655,0.3624930442654247,0.0,0.07135047757618652,democratic_reform,negative
Anayasa,1663.9805649999998,0.5605689049502071,0.0,0.3945096085070649,constitutional_conflict,negative
Vesayet,841.119215,0.5851220694436133,0.3090909090909091,0.20209650158081038,constitutional_conflict,negative
Faiz,378.9297,0.5013091415999433,0.0,0.2993017398675637,macro_economy,negative
Avrupa Birligi,231.17425500000002,0.5257841564531707,0.0,0.15797382100461493,democratic_reform,negative
Enflasyon,151.9911,0.5243305572125708,0.0,0.1994481277002063,macro_economy,negative
Reform,142.64911999999998,0.40772443038834777,0.01818181818181818,0.08808406979101119,democratic_reform,negative
IMF,132.24331,0.39136902673099394,0.0,0.060111447389515876,macro_economy,negative
Egemenlik,89.23286999999999,0.5267463540285895,0.0,0.3404206687635318,security_conflict,negative
