concept_slug,weight,abs_weight
constitution,-0.2390935755114966,0.2390935755114966
democracy,-0.0952365256422221,0.0952365256422221
law_state,-0.0407749163480121,0.0407749163480121
sovereignty,0.06519657453782643,0.06519657453782643
security,0.15788828746311323,0.15788828746311323
interest,0.2553015170774077,0.2553015170774077
tutelage,0.28272923190422733,0.28272923190422733
economy,0.3155944103824969,0.3155944103824969
european_union,0.3705588257646415,0.3705588257646415
reform,0.3947827085676544,0.3947827085676544
inflation,0.40725968942503415,0.40725968942503415
imf,0.4462960540420713,0.4462960540420713
