year,party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
2011,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,267,1142,832,345,1553.95,1553.95,0.4134125636672326,total
2011,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,163,843,335,296,1063.85,1063.85,0.061708860759493674,total
2011,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,262,782,278,171,939.15,939.15,0.23777777777777778,total
2011,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,199,719,216,171,854.45,854.45,0.11597938144329897,total
2011,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,192,568,181,173,691.9,691.9,0.022535211267605635,total
2011,Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,130,518,206,147,641.55,641.55,0.16666666666666666,total
2011,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,152,379,175,68,464.05,464.05,0.4385245901639344,total
2011,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,138,396,139,38,457.95,457.95,0.5674157303370787,total
2011,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,118,380,100,67,438.45,438.45,0.19642857142857142,total
2011,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,117,354,121,100,431.35,431.35,0.0945945945945946,total
2011,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,135,346,77,151,425.8,425.8,-0.3231441048034934,total
2011,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,93,322,90,79,381.15,381.15,0.06470588235294118,total
2011,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,97,287,71,87,342.3,342.3,-0.10062893081761007,total
2011,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,64,266,90,93,330.05,330.05,-0.016304347826086956,total
2011,Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,51,233,38,75,272.55,272.55,-0.32456140350877194,total
2011,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,81,213,69,49,254.3,254.3,0.16806722689075632,total
2011,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,85,209,45,58,245.05,245.05,-0.125,total
2011,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,71,192,66,38,228.4,228.4,0.26666666666666666,total
2011,Bağımsız,democracy,Demokrasi,democratic_reform,41,138,38,37,164.25,164.25,0.013157894736842105,total
2011,Bağımsız,law_state,Hukuk Devleti,democratic_reform,42,126,30,26,145.6,145.6,0.07017543859649122,total
2011,Bağımsız,economy,Ekonomi,macro_economy,21,110,29,69,144.3,144.3,-0.40404040404040403,total
2011,Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,44,121,44,21,143.75,143.75,0.3484848484848485,total
2011,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,47,121,48,15,143.05,143.05,0.515625,total
2011,Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,32,121,26,34,142.0,142.0,-0.13114754098360656,total
2011,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,52,119,23,14,131.95,131.95,0.23684210526315788,total
2011,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,49,107,50,21,131.85,131.85,0.4027777777777778,total
2011,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,40,74,26,14,88.0,88.0,0.2926829268292683,total
2011,Bağımsız,security,Guvenlik,security_conflict,32,69,19,19,82.30000000000001,82.30000000000001,0.0,total
2011,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,26,57,30,16,73.1,73.1,0.2978723404255319,total
2011,Bağımsız,constitution,Anayasa,constitutional_conflict,12,61,13,19,72.19999999999999,72.19999999999999,-0.18181818181818182,total
2011,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,28,61,17,8,69.75,69.75,0.34615384615384615,total
2011,Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,22,54,18,11,64.15,64.15,0.23333333333333334,total
2011,Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,14,50,8,8,55.6,55.6,0.0,total
2011,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,24,35,6,49,54.25,54.25,-0.7678571428571429,total
2011,Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,13,40,5,8,44.55,44.55,-0.21428571428571427,total
2011,Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,24,37,8,6,41.9,41.9,0.13333333333333333,total
2011,Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,25,36,7,4,39.85,39.85,0.25,total
2011,Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,19,31,4,4,33.800000000000004,33.800000000000004,0.0,total
2011,Cumhuriyet Halk Partisi,tutelage,Vesayet,constitutional_conflict,13,21,4,31,33.25,33.25,-0.75,total
2011,Bağımsız,european_union,Avrupa Birligi,democratic_reform,5,20,18,11,30.15,30.15,0.23333333333333334,total
2011,Halkların Demokratik Partisi,tutelage,Vesayet,constitutional_conflict,9,16,2,26,25.8,25.8,-0.8275862068965517,total
2011,Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,16,23,2,5,25.45,25.45,-0.375,total
2011,Cumhuriyet Halk Partisi,imf,IMF,macro_economy,10,17,4,1,18.75,18.75,0.5,total
2011,Halkların Demokratik Partisi,european_union,Avrupa Birligi,democratic_reform,9,16,5,1,18.1,18.1,0.5714285714285714,total
2011,Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,13,15,3,4,17.45,17.45,-0.125,total
2011,Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,8,14,5,4,17.15,17.15,0.1,total
2011,Milliyetçi Hareket Partisi,tutelage,Vesayet,constitutional_conflict,2,8,0,16,13.6,13.6,-0.9411764705882353,total
2011,Halkların Demokratik Partisi,reform,Reform,democratic_reform,4,9,0,1,9.35,9.35,-0.5,total
2011,Milliyetçi Hareket Partisi,imf,IMF,macro_economy,5,8,3,0,9.05,9.05,0.75,total
2011,Bağımsız,reform,Reform,democratic_reform,4,6,2,2,7.4,7.4,0.0,total
2011,Halkların Demokratik Partisi,interest,Faiz,macro_economy,5,5,1,3,6.4,6.4,-0.4,total
2011,Halkların Demokratik Partisi,sovereignty,Egemenlik,security_conflict,4,5,1,1,5.7,5.7,0.0,total
2011,Halkların Demokratik Partisi,inflation,Enflasyon,macro_economy,3,4,0,3,5.05,5.05,-0.75,total
2011,Bağımsız,sovereignty,Egemenlik,security_conflict,2,3,0,1,3.35,3.35,-0.5,total
2011,Bağımsız,tutelage,Vesayet,constitutional_conflict,2,2,0,3,3.05,3.05,-0.75,total
2011,Halkların Demokratik Partisi,imf,IMF,macro_economy,1,2,0,1,2.35,2.35,-0.5,total
2011,Milliyetçi Hareket Partisi,sovereignty,Egemenlik,security_conflict,2,2,0,1,2.35,2.35,-0.5,total
2011,Bağımsız,imf,IMF,macro_economy,1,2,0,0,2.0,2.0,0.0,total
2011,Bağımsız,inflation,Enflasyon,macro_economy,1,1,0,1,1.35,1.35,-0.5,total
2011,Bağımsız,interest,Faiz,macro_economy,1,1,0,1,1.35,1.35,-0.5,total
2012,Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,757,3181,753,756,3709.15,3709.15,-0.001986754966887417,total
2012,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,522,1921,1211,481,2513.2,2513.2,0.43118724158298877,total
2012,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,499,1918,639,620,2358.65,2358.65,0.01507936507936508,total
2012,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,593,1677,475,344,1963.65,1963.65,0.1597560975609756,total
2012,Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,363,1415,377,403,1688.0,1688.0,-0.03329065300896287,total
2012,Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,350,1337,450,458,1654.8,1654.8,-0.0088008800880088,total
2012,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,531,1498,215,202,1643.95,1643.95,0.03110047846889952,total
2012,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,413,1068,307,340,1294.45,1294.45,-0.05092592592592592,total
2012,Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,451,1044,328,195,1227.05,1227.05,0.2538167938931298,total
2012,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,499,946,154,345,1120.65,1120.65,-0.382,total
2012,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,353,803,362,159,985.35,985.35,0.3888888888888889,total
2012,Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,200,815,229,233,976.7,976.7,-0.008639308855291577,total
2012,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,319,813,239,112,935.85,935.85,0.36079545454545453,total
2012,Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,284,757,188,311,931.65,931.65,-0.246,total
2012,Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,235,743,236,276,922.2,922.2,-0.07797270955165692,total
2012,Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,244,717,92,148,801.0,801.0,-0.23236514522821577,total
2012,Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,189,551,135,168,657.05,657.05,-0.10855263157894737,total
2012,Bağımsız,law_state,Hukuk Devleti,democratic_reform,105,465,154,114,558.8,558.8,0.14869888475836432,total
2012,Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,116,435,116,196,544.2,544.2,-0.25559105431309903,total
2012,Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,128,397,84,60,447.4,447.4,0.16551724137931034,total
2012,Bağımsız,democracy,Demokrasi,democratic_reform,106,337,129,56,401.75,401.75,0.3924731182795699,total
2012,Halkların Demokratik Partisi,security,Guvenlik,security_conflict,144,320,90,143,401.55,401.55,-0.2264957264957265,total
2012,Bağımsız,economy,Ekonomi,macro_economy,53,250,88,81,309.15,309.15,0.041176470588235294,total
2012,Bağımsız,constitution,Anayasa,constitutional_conflict,74,268,72,37,306.15,306.15,0.3181818181818182,total
2012,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,121,199,85,31,239.6,239.6,0.46153846153846156,total
2012,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,95,194,67,43,232.5,232.5,0.21621621621621623,total
2012,Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,93,166,106,35,215.35,215.35,0.5,total
2012,Bağımsız,security,Guvenlik,security_conflict,68,155,34,86,197.0,197.0,-0.4297520661157025,total
2012,Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,80,153,48,14,174.7,174.7,0.5396825396825397,total
2012,Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,76,138,30,36,161.1,161.1,-0.08955223880597014,total
2012,Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,60,121,18,20,134.3,134.3,-0.05128205128205128,total
2012,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,42,80,10,107,120.95,120.95,-0.8220338983050848,total
2012,Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,43,86,46,27,111.55,111.55,0.25675675675675674,total
2012,Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,63,97,16,16,108.2,108.2,0.0,total
2012,Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,59,91,27,14,105.35,105.35,0.30952380952380953,total
2012,Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,36,81,27,13,95.0,95.0,0.34146341463414637,total
2012,Milliyetçi Hareket Partisi,tutelage,Vesayet,constitutional_conflict,24,52,4,105,90.15,90.15,-0.9181818181818182,total
2012,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,33,66,23,13,78.6,78.6,0.2702702702702703,total
2012,Cumhuriyet Halk Partisi,tutelage,Vesayet,constitutional_conflict,29,46,1,78,73.65,73.65,-0.9625,total
2012,Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,35,60,12,10,67.7,67.7,0.08695652173913043,total
