party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Bağımsız,european_union,Avrupa Birligi,democratic_reform,75,147,83,39,189.70000000000002,189.70000000000002,0.35772357723577236,total
Cumhuriyet Halk Partisi,imf,IMF,macro_economy,80,163,16,18,174.9,174.9,-0.05714285714285714,total
Milliyetçi Hareket Partisi,sovereignty,Egemenlik,security_conflict,90,140,25,37,161.7,161.7,-0.19047619047619047,total
Milliyetçi Hareket Partisi,imf,IMF,macro_economy,64,119,11,13,127.4,127.4,-0.08,total
Halkların Demokratik Partisi,interest,Faiz,macro_economy,37,99,12,24,111.60000000000001,111.60000000000001,-0.32432432432432434,total
Halkların Demokratik Partisi,reform,Reform,democratic_reform,50,89,18,23,103.35,103.35,-0.11904761904761904,total
Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,72,87,26,13,100.65,100.65,0.325,total
Bağımsız,reform,Reform,democratic_reform,51,82,25,17,96.7,96.7,0.18604651162790697,total
Halkların Demokratik Partisi,imf,IMF,macro_economy,14,74,11,24,86.25,86.25,-0.3611111111111111,total
Halkların Demokratik Partisi,sovereignty,Egemenlik,security_conflict,48,71,14,14,80.8,80.8,0.0,total
Bağımsız,tutelage,Vesayet,constitutional_conflict,11,31,6,62,54.800000000000004,54.800000000000004,-0.8115942028985508,total
Halkların Demokratik Partisi,inflation,Enflasyon,macro_economy,25,36,3,18,43.35,43.35,-0.6818181818181818,total
Bağımsız,interest,Faiz,macro_economy,18,35,6,11,40.95,40.95,-0.2777777777777778,total
Bağımsız,sovereignty,Egemenlik,security_conflict,16,21,1,8,24.150000000000002,24.150000000000002,-0.7,total
Bağımsız,inflation,Enflasyon,macro_economy,9,13,0,8,15.8,15.8,-0.8888888888888888,total
Bağımsız,imf,IMF,macro_economy,5,12,2,0,12.7,12.7,0.6666666666666666,total
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,744,4416,4305,672,6157.95,3872.823495,0.7298111691442346,positive
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,488,3189,1825,311,3936.6,2211.90106,0.7084698175011699,positive
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,479,2102,1378,173,2644.85,1596.366225,0.7764175257731959,positive
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,386,1765,1493,201,2357.9,1445.43933,0.7622418879056048,positive
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,287,1797,1051,181,2228.2,1269.783255,0.7055961070559611,positive
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,316,1401,1006,147,1804.55,1041.409995,0.744367417677643,positive
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,388,1272,1118,134,1710.2,1022.635855,0.7853152434158021,positive
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,419,1333,1016,114,1728.5,1014.847835,0.7975243147656941,positive
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,335,1431,932,179,1819.85,931.38651,0.677158273381295,positive
Bağımsız,law_state,Hukuk Devleti,democratic_reform,121,1076,738,129,1379.45,850.997855,0.7016129032258065,positive
Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,167,1024,653,109,1290.7,733.73292,0.7129750982961992,positive
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,263,1037,602,73,1273.25,718.040525,0.7825443786982249,positive
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,246,916,618,58,1152.6,693.162825,0.827178729689808,positive
Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,219,943,643,116,1208.65,650.71564,0.6934210526315789,positive
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,230,870,508,81,1076.15,555.812555,0.7237288135593221,positive
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,230,634,445,51,807.6,433.090735,0.7927565392354124,positive
Bağımsız,democracy,Demokrasi,democratic_reform,129,576,329,32,702.35,426.508635,0.8204419889502762,positive
Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,91,527,469,103,727.2,397.45684,0.6387434554973822,positive
Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,135,448,347,29,579.6,367.369665,0.843501326259947,positive
Halkların Demokratik Partisi,constitution,Anayasa,constitutional_conflict,104,496,331,48,628.65,366.48725,0.7447368421052631,positive
Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,144,469,291,24,579.25,326.812195,0.8449367088607594,positive
Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,169,373,349,13,499.7,318.16053,0.9256198347107438,positive
Bağımsız,economy,Ekonomi,macro_economy,76,413,259,40,517.65,303.387315,0.73,positive
Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,147,412,260,14,507.90000000000003,293.713665,0.8945454545454545,positive
Adalet ve Kalkınma Partisi,interest,Faiz,macro_economy,102,355,241,16,444.95,283.049405,0.872093023255814,positive
Cumhuriyet Halk Partisi,european_union,Avrupa Birligi,democratic_reform,112,318,295,34,433.15,258.509015,0.7909090909090909,positive
Bağımsız,constitution,Anayasa,constitutional_conflict,66,312,168,16,376.4,219.894655,0.8216216216216217,positive
Halkların Demokratik Partisi,security,Guvenlik,security_conflict,102,297,218,27,382.75,210.510395,0.7764227642276422,positive
Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,51,145,156,12,203.8,132.09729,0.8520710059171598,positive
Milliyetçi Hareket Partisi,european_union,Avrupa Birligi,democratic_reform,57,152,121,4,195.75,123.997835,0.9285714285714286,positive
Bağımsız,security,Guvenlik,security_conflict,47,192,99,20,233.65,117.115865,0.6583333333333333,positive
Milliyetçi Hareket Partisi,interest,Faiz,macro_economy,45,144,81,5,174.1,102.18408,0.8735632183908046,positive
Milliyetçi Hareket Partisi,inflation,Enflasyon,macro_economy,25,97,58,6,119.39999999999999,64.289805,0.8,positive
Bağımsız,european_union,Avrupa Birligi,democratic_reform,35,77,72,9,105.35000000000001,61.66251,0.7682926829268293,positive
Cumhuriyet Halk Partisi,interest,Faiz,macro_economy,41,88,57,5,109.7,58.55395,0.8253968253968254,positive
Cumhuriyet Halk Partisi,reform,Reform,democratic_reform,46,79,61,2,101.05,55.81652,0.921875,positive
Halkların Demokratik Partisi,european_union,Avrupa Birligi,democratic_reform,29,62,57,3,83.0,49.25243,0.8852459016393442,positive
Milliyetçi Hareket Partisi,reform,Reform,democratic_reform,36,58,54,0,76.9,45.568985,0.9818181818181818,positive
Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,21,49,42,0,63.7,41.527195,0.9767441860465116,positive
Cumhuriyet Halk Partisi,sovereignty,Egemenlik,security_conflict,15,34,24,0,42.4,28.569290000000002,0.96,positive
Bağımsız,reform,Reform,democratic_reform,11,24,19,0,30.65,19.65066,0.95,positive
Cumhuriyet Halk Partisi,inflation,Enflasyon,macro_economy,15,28,29,5,39.9,19.38637,0.6857142857142857,positive
Cumhuriyet Halk Partisi,imf,IMF,macro_economy,11,25,15,1,30.6,16.583489999999998,0.8235294117647058,positive
Milliyetçi Hareket Partisi,sovereignty,Egemenlik,security_conflict,10,20,18,1,26.65,15.72187,0.85,positive
Adalet ve Kalkınma Partisi,sovereignty,Egemenlik,security_conflict,16,17,23,0,25.05,14.40017,0.9583333333333334,positive
