speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
İlknur İnceöz,Adalet ve Kalkınma Partisi,1,Pole +,64.0,8.024738119912648,0.0,0.0,7.988843831323855,8.024738119912648,7.988843831323855,0.0,0.4988792548195696,2.9906852600617415,0.0
Burhan Kuzu,Adalet ve Kalkınma Partisi,1,Pole +,59.0,6.811758074233017,0.0,0.0,6.846830777391735,6.811758074233017,6.846830777391735,0.0,0.49871609342161366,2.9105912291121547,0.0
Mevlüt Akgün,Adalet ve Kalkınma Partisi,1,Pole +,200.0,7.349705120995107,0.0,0.0,7.755964797667798,7.349705120995107,7.755964797667798,0.0,0.4865527421215571,2.8884643876112763,0.0
Erol Dora,Bağımsız,1,Pole +,2496.0,6.787967510364565,0.0,0.0,6.559073251986961,6.787967510364565,6.559073251986961,0.0,0.4914252805758223,2.856735236974178,0.0
Nur Serter,Cumhuriyet Halk Partisi,-1,Pole -,85.0,0.0,5.900926676890524,5.77225428354334,0.0,5.77225428354334,5.900926676890524,0.0,0.494488546233786,2.8084925041269955,0.0
Faruk Bal,Milliyetçi Hareket Partisi,-1,Pole -,2886.0,0.0,4.971719820006669,4.91648720918096,0.0,4.91648720918096,4.971719820006669,0.0,0.4972071472787184,2.7417273586978195,0.0
Ayla Akat Ata,Halkların Demokratik Partisi,1,Pole +,595.0,6.287913337665288,0.0,0.0,7.162794595573757,6.287913337665288,7.162794595573757,0.0,0.467478244892916,2.721133350646943,0.0
Mustafa Moroğlu,Cumhuriyet Halk Partisi,-1,Pole -,106.0,0.0,5.719397813307149,7.057202119022455,0.0,7.057202119022455,5.719397813307149,0.0,0.44764630990654053,2.5827477709485316,0.0
Haluk Eyidoğan,Cumhuriyet Halk Partisi,-1,Pole -,118.0,0.0,7.229538443662644,5.696086780268846,0.0,5.696086780268846,7.229538443662644,0.0,0.44068172186224264,2.5476592404070635,0.0
Murat Bozlak,Halkların Demokratik Partisi,1,Pole +,396.0,5.7720239835898015,0.0,0.0,4.792437207279759,5.7720239835898015,4.792437207279759,0.0,0.4536376366234401,2.531366332232635,0.0
Melda Onur,Cumhuriyet Halk Partisi,-1,Pole -,67.0,0.0,5.135295365385451,6.458827588447955,0.0,6.458827588447955,5.135295365385451,0.0,0.44292227927810857,2.5126175842564917,0.0
Namık Havutça,Cumhuriyet Halk Partisi,1,Pole +,250.0,3.449289618958411,0.0,0.0,3.799428913517757,3.449289618958411,3.799428913517757,0.0,0.4758481934467226,2.476886715849434,0.0
Gürkut Acar,Cumhuriyet Halk Partisi,-1,Pole -,770.0,0.0,4.686020438666787,5.946870582719812,0.0,5.946870582719812,4.686020438666787,0.0,0.4407099093558649,2.462062400307314,0.0
Doğan Şafak,Cumhuriyet Halk Partisi,1,Pole +,137.0,2.7202487711789027,0.0,0.0,2.6998008433420577,2.7202487711789027,2.6998008433420577,0.0,0.4981136769690917,2.4488930572574095,0.0
Hüseyin Cemal Akın,Adalet ve Kalkınma Partisi,1,Pole +,58.0,8.280295860176102,0.0,0.0,5.8919759831872005,8.280295860176102,5.8919759831872005,0.0,0.41573969564594543,2.4416315956309713,0.0
Mahmut Tanal,Cumhuriyet Halk Partisi,-1,Pole -,1099.0,0.0,4.643880957413302,3.847524428368358,0.0,3.847524428368358,4.643880957413302,0.0,0.45310808436465594,2.429850975103876,0.0
Nurettin Demir,Cumhuriyet Halk Partisi,0,Neutral,84.0,0.0,2.1438747610625812,2.7456046807351484,0.0,2.7456046807351484,2.1438747610625812,0.0,0.4384668728325544,2.4274515261564997,0.0
Aytun Çıray,Cumhuriyet Halk Partisi,-1,Pole -,304.0,0.0,8.533775413448943,5.853066793321881,0.0,5.853066793321881,8.533775413448943,0.0,0.4068347111057102,2.3954290842897934,0.0
Ali Şahin,Adalet ve Kalkınma Partisi,-1,Pole -,55.0,0.0,6.982987587138172,10.81924958748158,0.0,10.81924958748158,6.982987587138172,0.0,0.3922533734524898,2.39291987440423,0.0
Yusuf Başer,Adalet ve Kalkınma Partisi,1,Pole +,218.0,4.363822915727449,0.0,0.0,5.859749474102458,4.363822915727449,5.859749474102458,0.0,0.42683934234589127,2.3678813447873033,0.0
Mehmet Şandır,Milliyetçi Hareket Partisi,-1,Pole -,1028.0,0.0,3.629545172495783,3.0868459201906293,0.0,3.0868459201906293,3.629545172495783,0.0,0.459598894277069,2.3574503492157906,0.0
Erdal Aksünger,Cumhuriyet Halk Partisi,-1,Pole -,149.0,0.0,5.746374093165974,4.206773756182029,0.0,4.206773756182029,5.746374093165974,0.0,0.4226576174124594,2.3333978055444105,0.0
Mehmet Doğan Kubat,Adalet ve Kalkınma Partisi,1,Pole +,451.0,4.873861246359832,0.0,0.0,7.171568460061771,4.873861246359832,7.171568460061771,0.0,0.4046232774374897,2.3107535241462758,0.0
Alim Işık,Milliyetçi Hareket Partisi,0,Neutral,720.0,0.0,2.4675935492523546,1.84102213436224,0.0,1.84102213436224,2.4675935492523546,0.0,0.42728854674512917,2.303958385604001,0.0
Ercan Cengiz,Cumhuriyet Halk Partisi,1,Pole +,211.0,9.01923953959104,0.0,0.0,5.694290379782645,9.01923953959104,5.694290379782645,0.0,0.38701048698707,2.287370603543343,0.0
Hakan Çavuşoğlu,Adalet ve Kalkınma Partisi,1,Pole +,160.0,5.537706888824079,0.0,0.0,8.763716902651302,5.537706888824079,8.763716902651302,0.0,0.38721367670663076,2.2776016663851255,0.0
