party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer
Cumhuriyet Halk Partisi,37518.049999999996,0.7738518157154375,0.6666666666666666,0.6023415458096967,opposition,total
Adalet ve Kalkınma Partisi,32818.2,0.5458953194050443,0.0,0.4896624123368627,opposition,total
Milliyetçi Hareket Partisi,25434.45,0.5574519884127135,0.0,0.49860364067797974,opposition,total
Halkların Demokratik Partisi,13150.8,0.4328480629999268,0.0,0.16194643494861696,opposition,total
Bağımsız,8019.099999999999,0.6455369251420172,0.5,0.3501187596318237,opposition,total
Adalet ve Kalkınma Partisi,9275.805425,0.4129401193155108,0.0,0.13928490741262076,opposition,positive
Cumhuriyet Halk Partisi,6260.73812,0.7580877228847025,0.6666666666666666,0.605683263425152,opposition,positive
Milliyetçi Hareket Partisi,3847.95692,0.6333797523359438,0.5,0.33264786168702604,opposition,positive
Halkların Demokratik Partisi,2430.209845,0.5414922311683521,0.0,0.49955908724837544,opposition,positive
Bağımsız,2006.834475,0.5463127391023228,0.0,0.5035212184569136,opposition,positive
Cumhuriyet Halk Partisi,7000.962565,0.4924687376785367,0.0,0.24929471133355158,opposition,negative
Milliyetçi Hareket Partisi,5032.047925,0.7854563283478578,0.5,0.5690708243807744,opposition,negative
Adalet ve Kalkınma Partisi,3542.253495,0.6521684249336634,0.0,0.4909538931860955,opposition,negative
Halkların Demokratik Partisi,2293.215905,0.4858361262466213,0.0,0.2381106353767521,opposition,negative
Bağımsız,1246.490555,0.7845590848387131,0.5,0.5623861163165415,opposition,negative
