term,event_month,event_label,topic,topic_label,salience_pre,salience_post,salience_delta,neg_rate_pre,neg_rate_post,neg_rate_delta,top_party_pre,top_party_post
24,2013-05,Gezi,constitutional_conflict,Constitutional conflict,0.08081010047564213,0.10158855667150406,0.020778456195861925,0.23248407643312102,0.24888208092091588,0.016398004487794854,Adalet ve Kalkınma Partisi,Bağımsız
24,2013-05,Gezi,democratic_reform,Democratic reform,0.43721126187639825,0.3927867201012061,-0.04442454177519217,0.24238340770949285,0.2603843151077581,0.018000907398265265,Bağımsız,Halkların Demokratik Partisi
24,2013-05,Gezi,macro_economy,Macro economy,0.2721056862454244,0.34821712332149063,0.07611143707606621,0.2913324258187888,0.24095642977619644,-0.05037599604259238,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi
24,2013-05,Gezi,security_conflict,Security conflict,0.20987295140253515,0.1574075999057993,-0.05246535149673584,0.3955764146423692,0.4561080996777072,0.06053168503533801,Milliyetçi Hareket Partisi,Milliyetçi Hareket Partisi
24,2013-12,17-25 Dec,constitutional_conflict,Constitutional conflict,0.11318694164841386,0.12848460546487941,0.015297663816465551,0.19621212121212123,0.2375535308788966,0.04134140966677538,Cumhuriyet Halk Partisi,Halkların Demokratik Partisi
24,2013-12,17-25 Dec,democratic_reform,Democratic reform,0.4446001402800679,0.5489169923783055,0.1043168520982376,0.19300337904989068,0.249199493887461,0.05619611483757031,Bağımsız,Bağımsız
24,2013-12,17-25 Dec,macro_economy,Macro economy,0.24685446558216229,0.2150318408474079,-0.03182262473475439,0.29886642359960225,0.31885130052440364,0.019984876924801387,Adalet ve Kalkınma Partisi,Milliyetçi Hareket Partisi
24,2013-12,17-25 Dec,security_conflict,Security conflict,0.19535845248935593,0.10756656130940727,-0.08779189117994866,0.5201127819548872,0.4822225771678024,-0.03789020478708477,Milliyetçi Hareket Partisi,Halkların Demokratik Partisi
24,2014-03,Dershane dispute,constitutional_conflict,Constitutional conflict,0.13512790991902834,0.1283391949796959,-0.006788714939332446,0.22861290501399706,0.24934831103539565,0.02073540602139859,Halkların Demokratik Partisi,Milliyetçi Hareket Partisi
24,2014-03,Dershane dispute,democratic_reform,Democratic reform,0.6085531376518218,0.5478779632159556,-0.06067517443586623,0.26432747398237544,0.22168132385199582,-0.04264615013037962,Bağımsız,Halkların Demokratik Partisi
24,2014-03,Dershane dispute,macro_economy,Macro economy,0.15029858299595142,0.1488073000814993,-0.0014912829144521078,0.35515109890109886,0.38105865845504794,0.025907559553949078,Milliyetçi Hareket Partisi,Adalet ve Kalkınma Partisi
24,2014-03,Dershane dispute,security_conflict,Security conflict,0.10602036943319838,0.1749755417228492,0.06895517228965083,0.48217403548296256,0.3727061358247023,-0.10946789965826026,Halkların Demokratik Partisi,Cumhuriyet Halk Partisi
