speaker,party,total_mentions,community,community_label,eigen_score,embed1,embed2
Abdulkerim Gök,Adalet ve Kalkınma Partisi,203,0,Neutral,-0.010939126658642908,0.16441126733963848,-0.09656920571982834
Abdullah Gül,Adalet ve Kalkınma Partisi,160,0,Neutral,0.017007345111581404,0.5139060729533622,0.1373010507537659
Abdullah Levent Tüzel,Halkların Demokratik Partisi,549,0,Neutral,-0.007644293940011149,-0.1378235956364627,-0.3150614539501625
Adil Zozani,Bağımsız,461,0,Neutral,-0.04453910959725457,-0.6658566016442097,-0.06227453604628985
Adnan Keskin,Cumhuriyet Halk Partisi,98,1,Pole +,0.06441670031275704,0.2955368332932953,-0.28848952674460954
Adnan Şefik Çirkin,Milliyetçi Hareket Partisi,186,0,Neutral,-0.032534122753491684,-0.6409784900409936,0.0069575448830281605
Afif Demirkıran,Adalet ve Kalkınma Partisi,43,0,Neutral,-0.021557492571592785,-0.38471874122316624,-0.7182687701031029
Ahmet Arslan,Adalet ve Kalkınma Partisi,59,0,Neutral,0.010114465459696687,0.15920277330529672,0.23655638158524295
Ahmet Aydın,Adalet ve Kalkınma Partisi,695,0,Neutral,0.0194690531697147,0.24389583452775693,-0.10262027520679892
Ahmet Baha Öğütken,Adalet ve Kalkınma Partisi,47,0,Neutral,0.02263058653215344,0.47084547099061075,0.6830293867913001
Ahmet Berat Çonkar,Adalet ve Kalkınma Partisi,85,0,Neutral,0.012708289723919741,0.35040040756046886,0.6039146779778092
Ahmet Davutoğlu,Adalet ve Kalkınma Partisi,556,0,Neutral,0.0018950797647872414,0.27865060917113377,0.339810868957338
Ahmet Duran Bulut,Milliyetçi Hareket Partisi,152,0,Neutral,-0.04667902260814123,-0.4079768692849103,0.23512895890118415
Ahmet Kenan Tanrıkulu,Milliyetçi Hareket Partisi,256,0,Neutral,-0.01923320286412079,-0.2998047201292239,-0.13843844186792817
Ahmet Toptaş,Cumhuriyet Halk Partisi,177,-1,Pole -,-0.0612003232324318,-0.6959376607866586,-0.06369408860940115
Ahmet Yeni,Adalet ve Kalkınma Partisi,95,0,Neutral,0.007809041799619113,0.4792705717611991,0.38642130806318303
Akif Hamzaçebi,Cumhuriyet Halk Partisi,1585,0,Neutral,0.010718204393591193,0.004038359119765135,-0.3615951034782693
Akif Çağatay Kılıç,Adalet ve Kalkınma Partisi,46,0,Neutral,-0.02995850600283463,-0.5406299634990616,-0.0038952711333767698
Alaattin Yüksel,Cumhuriyet Halk Partisi,62,0,Neutral,-0.02823338441683425,-0.4819367146238687,0.17744756361428285
Ali Babacan,Adalet ve Kalkınma Partisi,1023,0,Neutral,0.013876342130842533,0.5791125237438689,0.41439839903766934
Ali Ercoşkun,Adalet ve Kalkınma Partisi,51,0,Neutral,0.022969472327942365,0.47545159285855043,0.03793138093585399
Ali Halaman,Milliyetçi Hareket Partisi,164,0,Neutral,0.009258039482790107,0.3892428387554921,0.4043031487574424
Ali Haydar Öner,Cumhuriyet Halk Partisi,328,0,Neutral,-0.010263129172640259,-0.27086450626526126,0.22274943270783068
Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,49,0,Neutral,-0.0166355416521091,0.01670436892598584,-0.06011789941846035
Ali Rıza Öztürk,Cumhuriyet Halk Partisi,2502,0,Neutral,0.013557277781704074,0.16155603127976356,-0.3756532153848209
Ali Sarıbaş,Cumhuriyet Halk Partisi,132,0,Neutral,0.02994347386760453,0.4368899621814692,-0.29576517366241745
Ali Serindağ,Cumhuriyet Halk Partisi,572,0,Neutral,0.009276816435037211,0.011306795217584644,-0.6501069353458907
Ali Uzunırmak,Milliyetçi Hareket Partisi,298,1,Pole +,0.06531920817128077,0.18373709589319703,-0.7726110563756041
Ali Öz,Milliyetçi Hareket Partisi,397,0,Neutral,-0.004630139469428021,-0.2333098173379974,-0.06406868732889583
Ali Özgündüz,Cumhuriyet Halk Partisi,472,0,Neutral,-0.003460120769756216,-0.20815067367980675,-0.01578127573484479
Ali İhsan Köktürk,Cumhuriyet Halk Partisi,864,1,Pole +,0.11255374009926558,0.29198731698120145,-0.4835215584142143
Ali İhsan Yavuz,Adalet ve Kalkınma Partisi,98,0,Neutral,0.02230907592164797,0.24888426357285545,-0.148203730343657
Ali Şahin,Adalet ve Kalkınma Partisi,55,-1,Pole -,-0.21141380753585431,-0.5731351018428203,0.7380493737127125
Alim Işık,Milliyetçi Hareket Partisi,720,0,Neutral,-0.05617243107265714,-0.5009848793346291,0.3317114514019375
Alpaslan Kavaklıoğlu,Adalet ve Kalkınma Partisi,144,0,Neutral,0.031054360083869106,0.5711984927995534,-0.08106050929488548
Altan Tan,Halkların Demokratik Partisi,380,0,Neutral,-0.012243345567543931,-0.3257827017615719,-0.17950313268394721
Arif Bulut,Cumhuriyet Halk Partisi,53,0,Neutral,0.0015829902861469302,0.06011266513253153,-0.12413941905484487
Atila Kaya,Milliyetçi Hareket Partisi,54,0,Neutral,0.016777831486853904,-0.18509330251090717,-0.497316310872882
Atilla Kart,Cumhuriyet Halk Partisi,256,-1,Pole -,-0.098387344157256,-0.37236550216275827,0.5133031846659856
Avni Erdemir,Adalet ve Kalkınma Partisi,49,0,Neutral,0.02171520607176714,0.4116197936783042,0.18809848936734583
Aydın Ayaydın,Cumhuriyet Halk Partisi,304,0,Neutral,-0.017854375282147467,-0.35428400788311215,-0.09415939006550864
Aykan Erdemir,Cumhuriyet Halk Partisi,217,0,Neutral,-0.005680539618243872,-0.1126981337412904,0.3971622480419259
Aykut Erdoğdu,Cumhuriyet Halk Partisi,232,-1,Pole -,-0.07490612960568176,-0.47303125853960565,0.13769353813593113
Ayla Akat Ata,Halkların Demokratik Partisi,595,1,Pole +,0.16467438528927725,0.5798204187773247,-0.5312066297818556
Aylin Nazlıaka,Cumhuriyet Halk Partisi,44,0,Neutral,-0.013607694443187317,-0.2393805836344804,-0.8485087596929778
Aytun Çıray,Cumhuriyet Halk Partisi,304,-1,Pole -,-0.1723697760336287,-0.7963978887211247,0.2993499528890593
Aytuğ Atıcı,Cumhuriyet Halk Partisi,359,0,Neutral,-0.01384122755691008,-0.08477301031055844,-0.02515713406697508
Ayşe Nedret Akova,Cumhuriyet Halk Partisi,288,0,Neutral,0.052207715103831535,0.44453658832708576,-0.21860352827135704
Ayşenur İslam,Adalet ve Kalkınma Partisi,46,0,Neutral,0.0491569517509952,0.47426928161048126,-0.16993820951472272
Bekir Bozdağ,Adalet ve Kalkınma Partisi,975,1,Pole +,0.10625878933877089,0.5031838194212713,-0.6184622028834195
Bengi Yıldız,Bağımsız,122,1,Pole +,0.08631423493003919,0.23365198741152504,-0.28660538858532203
Beşir Atalay,Adalet ve Kalkınma Partisi,595,0,Neutral,0.03878459793760413,0.4713579036218953,-0.19597588024535784
Binnaz Toprak,Cumhuriyet Halk Partisi,51,0,Neutral,0.04759149938784112,0.6718671721553905,0.09456764958980655
Burhan Kuzu,Adalet ve Kalkınma Partisi,59,1,Pole +,0.1580864295933328,0.5338428745972702,-0.5382588452881965
Bülent Arınç,Adalet ve Kalkınma Partisi,511,0,Neutral,-0.01366950325868425,-0.0736856188353483,0.2662972176524727
Bülent Belen,Milliyetçi Hareket Partisi,163,0,Neutral,-0.017367566943832586,-0.41938734541054284,-0.3106799766550888
Bülent Gedikli,Adalet ve Kalkınma Partisi,62,0,Neutral,0.007723683439623255,0.055820316486465564,0.16595521801438035
Bülent Kuşoğlu,Cumhuriyet Halk Partisi,480,0,Neutral,-0.0537975534829919,-0.30520147494635197,0.16826027516159006
Bülent Tezcan,Cumhuriyet Halk Partisi,382,0,Neutral,-0.00104482583916702,-0.0051116007152639375,-0.3649653310060666
Bülent Turan,Adalet ve Kalkınma Partisi,167,0,Neutral,0.005764710033194064,0.024286895047754876,0.10851923811212415
Cahit Bağcı,Adalet ve Kalkınma Partisi,162,0,Neutral,0.015906898159024647,0.3550523769841234,0.61201169329612
Candan Yüceer,Cumhuriyet Halk Partisi,124,0,Neutral,-0.027500806810196062,-0.38025328725202767,-0.3099148385125513
Celal Adan,Milliyetçi Hareket Partisi,306,0,Neutral,0.0005714914283017547,-0.29303712675927845,-0.2592785422629982
Celal Dinçer,Cumhuriyet Halk Partisi,317,0,Neutral,-0.02907264997667344,-0.5240834265204473,-0.15442969579556917
Cemalettin Şimşek,Milliyetçi Hareket Partisi,150,0,Neutral,-0.05217780780200159,-0.5404140372597568,0.23604600175420484
Cengiz Yavilioğlu,Adalet ve Kalkınma Partisi,52,0,Neutral,0.007268172803185239,0.25089227816591475,0.4096431788603229
Cevdet Yılmaz,Adalet ve Kalkınma Partisi,907,0,Neutral,0.019806552193991807,0.5699300102152435,0.594521346529299
Cuma İçten,Adalet ve Kalkınma Partisi,60,0,Neutral,-0.029242763689375326,-0.2921540863746241,0.31748651478188233
Demir Çelik,Halkların Demokratik Partisi,1120,0,Neutral,-0.009481358879167224,-0.2513011960791802,-0.1261428615256414
Devlet Bahçeli,Milliyetçi Hareket Partisi,78,0,Neutral,0.0002082729088437315,-0.06153447065058703,0.06488222087925932
Dilek Akagün Yılmaz,Cumhuriyet Halk Partisi,1158,1,Pole +,0.09123994835350242,0.2728143166282111,-0.7726273833257966
Doğan Şafak,Cumhuriyet Halk Partisi,137,1,Pole +,0.06822858336782867,0.5011618851327687,-0.26492966093713505
Durdu Özbolat,Cumhuriyet Halk Partisi,52,0,Neutral,-0.025023919893413737,-0.5347799372600143,-0.45839462606028053
Egemen Bağış,Adalet ve Kalkınma Partisi,361,0,Neutral,-0.00025288567648151225,0.2173738593976983,0.08150473212969139
Ekrem Çelebi,Adalet ve Kalkınma Partisi,69,0,Neutral,0.00900430370607508,0.4946956083073934,0.2720674975420444
Emin Haluk Ayhan,Milliyetçi Hareket Partisi,606,0,Neutral,-0.011406760568380822,-0.17803993990236822,0.09541952780318289
Emin Çınar,Milliyetçi Hareket Partisi,58,0,Neutral,-0.0422835298700037,-0.7013967529897491,-0.08404988805922813
Emin Önen,Adalet ve Kalkınma Partisi,74,0,Neutral,-0.0006281901171288622,0.18182587538603986,0.22888851275973573
Emine Ayna,Bağımsız,64,0,Neutral,-0.0027983894701497044,-0.19479429832808728,-0.11003624028227481
Emine Ülker Tarhan,Cumhuriyet Halk Partisi,201,0,Neutral,-0.027899796664010604,-0.20861958047549317,0.02648292440980075
Emre Köprülü,Cumhuriyet Halk Partisi,111,-1,Pole -,-0.11924731969894234,-0.5185576660654349,0.20129382545075206
Emrullah İşler,Adalet ve Kalkınma Partisi,145,0,Neutral,-0.01723296305024393,-0.14600233767657536,-0.2633144157176732
Engin Altay,Cumhuriyet Halk Partisi,362,0,Neutral,-0.02505207684967257,-0.4119452730259744,0.14504423702950253
Ensar Öğüt,Cumhuriyet Halk Partisi,129,0,Neutral,-0.00634874269300403,-0.005025393217007731,-0.12583819240970082
