donem,il,isim,parti,degisiklik
22,Adana,Abdullah Çalışkan,Adalet ve Kalkınma Partisi,
22,Adana,Ömer Çelik,Adalet ve Kalkınma Partisi,
22,Adana,Recep Garip,Adalet ve Kalkınma Partisi,
22,Adana,Ali Küçükaydın,Adalet ve Kalkınma Partisi,
22,Adana,Vahit Kirişci,Adalet ve Kalkınma Partisi,
22,Adana,Ayhan Zeynep Tekin Börü,Adalet ve Kalkınma Partisi,
22,Adana,Abdullah Torun,Adalet ve Kalkınma Partisi,
22,Adana,Ziyaettin Yağcı,Adalet ve Kalkınma Partisi,
22,Adana,Nevin Gaye Erbatur,Cumhuriyet Halk Partisi,
22,Adana,Uğur Aksöz,Cumhuriyet Halk Partisi,
22,Adana,Atilla Başoğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Adana,Kemal Sağ,Cumhuriyet Halk Partisi,
22,Adana,Tacidar Seyhan,Cumhuriyet Halk Partisi,
22,Adana,Mehmet Ziya Yergök,Cumhuriyet Halk Partisi,
22,Adıyaman,Mahmut Göksu,Adalet ve Kalkınma Partisi,
22,Adıyaman,Fehmi Hüsrev Kutlu,Adalet ve Kalkınma Partisi,
22,Adıyaman,Mehmet Özyol,Adalet ve Kalkınma Partisi,
22,Adıyaman,Ahmet Faruk Ünsal,Adalet ve Kalkınma Partisi,
22,Adıyaman,Şevket Gürsoy,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Afyonkarahisar,Sait Açba,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,İbrahim Hakkı Aşkar,Adalet ve Kalkınma Partisi,Bağımsız
22,Afyonkarahisar,Halil Aydoğan,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Ahmet Koca,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Mahmut Koçak,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Afyonkarahisar,Reyhan Tugay,Adalet ve Kalkınma Partisi,
22,Afyonkarahisar,Halil Ünlütepe,Cumhuriyet Halk Partisi,
22,Ağrı,Mehmet Kerim Yıldız,Adalet ve Kalkınma Partisi,
22,Ağrı,Mehmet Melik Özmen,Adalet ve Kalkınma Partisi,Ölüm
22,Ağrı,Halil Özyolcu,Adalet ve Kalkınma Partisi,
22,Ağrı,Naci Aslan,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Ağrı,Cemal Kaya,Cumhuriyet Halk Partisi,Milletvekilliğinden istifa
22,Aksaray,Ruhi Açıkgöz,Adalet ve Kalkınma Partisi,
22,Aksaray,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,
22,Aksaray,Ramazan Toprak,Adalet ve Kalkınma Partisi,
22,Aksaray,Ahmet Yaşar,Adalet ve Kalkınma Partisi,
22,Amasya,Hamza Albayrak,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Amasya,Akif Gülle,Adalet ve Kalkınma Partisi,
22,Amasya,Mustafa Sayar,Cumhuriyet Halk Partisi,Bağımsız
22,Ankara,Cemil Çiçek,Adalet ve Kalkınma Partisi,
22,Ankara,Beşir Atalay,Adalet ve Kalkınma Partisi,
22,Ankara,Ali Babacan,Adalet ve Kalkınma Partisi,
22,Ankara,İsmail Alptekin,Adalet ve Kalkınma Partisi,
22,Ankara,Reha Denemeç,Adalet ve Kalkınma Partisi,
22,Ankara,Bülent Gedikli,Adalet ve Kalkınma Partisi,
22,Ankara,Haluk İpek,Adalet ve Kalkınma Partisi,
22,Ankara,Salih Kapusuz,Adalet ve Kalkınma Partisi,
22,Ankara,Telat Karapınar,Adalet ve Kalkınma Partisi,
22,Ankara,Faruk Koca,Adalet ve Kalkınma Partisi,
22,Ankara,Ersönmez Yarbay,Adalet ve Kalkınma Partisi,
22,Ankara,Mustafa Sait Yazıcıoğlu,Adalet ve Kalkınma Partisi,
22,Ankara,Mehmet Zekai Özcan,Adalet ve Kalkınma Partisi,
22,Ankara,Remziye Öztoprak,Adalet ve Kalkınma Partisi,
22,Ankara,Eyyüp Sanay,Adalet ve Kalkınma Partisi,
22,Ankara,Nur Doğan Topaloğlu,Adalet ve Kalkınma Partisi,
22,Ankara,Mustafa Tuna,Adalet ve Kalkınma Partisi,
22,Ankara,Önder Sav,Cumhuriyet Halk Partisi,
22,Ankara,Oya Araslı,Cumhuriyet Halk Partisi,
22,Ankara,Yılmaz Ateş,Cumhuriyet Halk Partisi,
22,Ankara,Eşref Erdem,Cumhuriyet Halk Partisi,
22,Ankara,Zekeriya Akıncı,Cumhuriyet Halk Partisi,
22,Ankara,Gülsün Bilgehan,Cumhuriyet Halk Partisi,
22,Ankara,Ahmet İsmet Çanakcı,Cumhuriyet Halk Partisi,
22,Ankara,İsmail Değerli,Cumhuriyet Halk Partisi,
22,Ankara,Bayram Meral,Cumhuriyet Halk Partisi,
22,Ankara,Yakup Kepenek,Cumhuriyet Halk Partisi,
22,Ankara,Mehmet Tomanbay,Cumhuriyet Halk Partisi,
22,Ankara,Muzaffer Remzi Kurtulmuşoğlu,Cumhuriyet Halk Partisi,Anavatan Partisi
22,Antalya,Mevlüt Çavuşoğlu,Adalet ve Kalkınma Partisi,
22,Antalya,Mehmet Dülger,Adalet ve Kalkınma Partisi,
22,Antalya,Osman Akman,Adalet ve Kalkınma Partisi,
22,Antalya,Fikret Badazlı,Adalet ve Kalkınma Partisi,
22,Antalya,Burhan Kılıç,Adalet ve Kalkınma Partisi,
22,Antalya,Deniz Baykal,Cumhuriyet Halk Partisi,
22,Antalya,Osman Kaptan,Cumhuriyet Halk Partisi,
22,Antalya,Feridun Fikret Baloğlu,Cumhuriyet Halk Partisi,
22,Antalya,Hüseyin Ekmekcioğlu,Cumhuriyet Halk Partisi,
22,Antalya,Atila Emek,Cumhuriyet Halk Partisi,
22,Antalya,Tuncay Ercenk,Cumhuriyet Halk Partisi,
22,Antalya,Nail Kamacı,Cumhuriyet Halk Partisi,
22,Antalya,Osman Özcan,Cumhuriyet Halk Partisi,
22,Ardahan,Kenan Altun,Adalet ve Kalkınma Partisi,
22,Ardahan,Ensar Öğüt,Cumhuriyet Halk Partisi,
22,Artvin,Orhan Yıldız,Adalet ve Kalkınma Partisi,
22,Artvin,Yüksel Çorbacıoğlu,Cumhuriyet Halk Partisi,
22,Aydın,Atilla Koç,Adalet ve Kalkınma Partisi,
22,Aydın,Ahmet Ertürk,Adalet ve Kalkınma Partisi,
22,Aydın,Ahmet Rıza Acar,Adalet ve Kalkınma Partisi,
22,Aydın,Semiha Öyüş,Adalet ve Kalkınma Partisi,
22,Aydın,Özlem Çerçioğlu,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Boztaş,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Mesut Özakcan,Cumhuriyet Halk Partisi,
22,Aydın,Mehmet Semerci,Cumhuriyet Halk Partisi,
22,Balıkesir,Turhan Çömez,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ahmet Edip Uğur,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Aydınlıoğlu,Adalet ve Kalkınma Partisi,
22,Balıkesir,İsmail Özgün,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Osman Sali,Adalet ve Kalkınma Partisi,
22,Balıkesir,Ali Kemal Deveciler,Cumhuriyet Halk Partisi,
22,Balıkesir,Sedat Pekel,Cumhuriyet Halk Partisi,
22,Balıkesir,Orhan Sür,Cumhuriyet Halk Partisi,
22,Bartın,Hacı İbrahim Kabarık,Adalet ve Kalkınma Partisi,
22,Bartın,Mehmet Asım Kulak,Adalet ve Kalkınma Partisi,
22,Batman,Afif Demirkıran,Adalet ve Kalkınma Partisi,
22,Batman,Ahmet İnal,Adalet ve Kalkınma Partisi,
22,Batman,Memet Ali Suçin,Adalet ve Kalkınma Partisi,
22,Batman,Mehmet Nezir Nasıroğlu,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Bayburt,Fetani Battal,Adalet ve Kalkınma Partisi,
22,Bayburt,Ülkü Güney,Bağımsız,Adalet ve Kalkınma Partisi
22,Bilecik,Fahrettin Poyraz,Adalet ve Kalkınma Partisi,
22,Bilecik,Yaşar Tüzün,Cumhuriyet Halk Partisi,
22,Bingöl,Abdurrahman Anık,Adalet ve Kalkınma Partisi,
22,Bingöl,Feyzi Berdibek,Adalet ve Kalkınma Partisi,
22,Bingöl,Mahfuz Güler,Adalet ve Kalkınma Partisi,
22,Bitlis,Abdurrahim Aksoy,Adalet ve Kalkınma Partisi,
22,Bitlis,Zeki Ergezen,Adalet ve Kalkınma Partisi,
22,Bitlis,Vahit Kiler,Adalet ve Kalkınma Partisi,
22,Bitlis,Edip Safder Gaydalı,Bağımsız,
22,Bolu,Yüksel Coşkunyürek,Adalet ve Kalkınma Partisi,
22,Bolu,Mehmet Güner,Adalet ve Kalkınma Partisi,
22,Bolu,Metin Yılmaz,Adalet ve Kalkınma Partisi,
22,Burdur,Mehmet Alp,Adalet ve Kalkınma Partisi,
22,Burdur,Bayram Özçelik,Adalet ve Kalkınma Partisi,
22,Burdur,Ramazan Kerim Özkan,Cumhuriyet Halk Partisi,
22,Bursa,Ertuğrul Yalçınbayır,Adalet ve Kalkınma Partisi,
22,Bursa,Faruk Çelik,Adalet ve Kalkınma Partisi,
22,Bursa,Abdulmecit Alp,Adalet ve Kalkınma Partisi,
22,Bursa,Faruk Anbarcıoğlu,Adalet ve Kalkınma Partisi,
22,Bursa,Şerif Birinç,Adalet ve Kalkınma Partisi,
22,Bursa,Mustafa Dündar,Adalet ve Kalkınma Partisi,
22,Bursa,Zafer Hıdıroğlu,Adalet ve Kalkınma Partisi,
22,Bursa,Mehmet Altan Karapaşaoğlu,Adalet ve Kalkınma Partisi,
22,Bursa,Sedat Kızılcıklı,Adalet ve Kalkınma Partisi,
22,Bursa,Şevket Orhan,Adalet ve Kalkınma Partisi,
22,Bursa,Niyazi Pakyürek,Adalet ve Kalkınma Partisi,
22,Bursa,Mehmet Emin Tutan,Adalet ve Kalkınma Partisi,
22,Bursa,Mehmet Küçükaşık,Cumhuriyet Halk Partisi,
22,Bursa,Mustafa Özyurt,Cumhuriyet Halk Partisi,
22,Bursa,Kemal Demirel,Cumhuriyet Halk Partisi,
22,Bursa,Ali Dinçer,Cumhuriyet Halk Partisi,Ölüm
22,Çanakkale,Mehmet Daniş,Adalet ve Kalkınma Partisi,
22,Çanakkale,İbrahim Köşdere,Adalet ve Kalkınma Partisi,
22,Çanakkale,Ahmet Küçük,Cumhuriyet Halk Partisi,
22,Çanakkale,İsmail Özay,Cumhuriyet Halk Partisi,
22,Çankırı,Tevfik Akbak,Adalet ve Kalkınma Partisi,
22,Çankırı,İsmail Ericekli,Adalet ve Kalkınma Partisi,
22,Çankırı,Hikmet Özdemir,Adalet ve Kalkınma Partisi,
22,Çorum,Agah Kafkas,Adalet ve Kalkınma Partisi,
22,Çorum,Ali Yüksel Kavuştu,Adalet ve Kalkınma Partisi,
22,Çorum,Muzaffer Külcü,Adalet ve Kalkınma Partisi,
22,Çorum,Murat Yıldırım,Adalet ve Kalkınma Partisi,
22,Çorum,Feridun Ayvazoğlu,Cumhuriyet Halk Partisi,
22,Denizli,Mehmet Salih Erdoğan,Adalet ve Kalkınma Partisi,
22,Denizli,Osman Nuri Filiz,Adalet ve Kalkınma Partisi,
22,Denizli,Ümmet Kandoğan,Adalet ve Kalkınma Partisi,Doğru Yol Partisi
22,Denizli,Mehmet Yüksektepe,Adalet ve Kalkınma Partisi,
22,Denizli,Mustafa Gazalcı,Cumhuriyet Halk Partisi,
22,Denizli,Mehmet Uğur Neşşar,Cumhuriyet Halk Partisi,
22,Denizli,Veli Haşim Oral,Cumhuriyet Halk Partisi,
22,Diyarbakır,Aziz Akgül,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Mehmet İhsan Arslan,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Osman Aslan,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Mehdi Eker,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Ali İhsan Merdanoğlu,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Cavit Torun,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Mehmet Fehmi Uyanık,Adalet ve Kalkınma Partisi,
22,Diyarbakır,İrfan Riza Yazıcıoğlu,Adalet ve Kalkınma Partisi,
22,Diyarbakır,Mesut Değer,Cumhuriyet Halk Partisi,
22,Diyarbakır,Muhsin Koçyiğit,Cumhuriyet Halk Partisi,Anavatan Partisi
22,Düzce,Yaşar Yakış,Adalet ve Kalkınma Partisi,
22,Düzce,Fahri Çakır,Adalet ve Kalkınma Partisi,
22,Düzce,Metin Kaşıkoğlu,Adalet ve Kalkınma Partisi,
22,Edirne,Rasim Çakır,Cumhuriyet Halk Partisi,
22,Edirne,Necdet Budak,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Edirne,Nejat Gencan,Cumhuriyet Halk Partisi,
22,Edirne,Ali Ayağ,Adalet ve Kalkınma Partisi,Bağımsız
22,Elazığ,Mehmet Necati Çetinkaya,Adalet ve Kalkınma Partisi,
22,Elazığ,Zülfü Demirbağ,Adalet ve Kalkınma Partisi,
22,Elazığ,Şemsettin Murat,Adalet ve Kalkınma Partisi,
22,Elazığ,Abdulbaki Türkoğlu,Adalet ve Kalkınma Partisi,
22,Elazığ,Mehmet Ağar,Bağımsız,Doğru Yol Partisi
22,Erzincan,Talip Kaban,Adalet ve Kalkınma Partisi,
22,Erzincan,Tevhit Karakaya,Adalet ve Kalkınma Partisi,
22,Erzincan,Erol Tınastepe,Cumhuriyet Halk Partisi,
22,Erzurum,Recep Akdağ,Adalet ve Kalkınma Partisi,
22,Erzurum,Mustafa Nuri Akbulut,Adalet ve Kalkınma Partisi,
22,Erzurum,Mücahit Daloğlu,Adalet ve Kalkınma Partisi,
22,Erzurum,Muzaffer Gülyurt,Adalet ve Kalkınma Partisi,
22,Erzurum,Mustafa Ilıcalı,Adalet ve Kalkınma Partisi,
22,Erzurum,İbrahim Özdoğan,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Erzurum,Ömer Özyılmaz,Adalet ve Kalkınma Partisi,
22,Eskişehir,Fahri Keskin,Adalet ve Kalkınma Partisi,
22,Eskişehir,Hasan Murat Mercan,Adalet ve Kalkınma Partisi,
22,Eskişehir,Muharrem Tozçöken,Adalet ve Kalkınma Partisi,
22,Eskişehir,Cevdet Selvi,Cumhuriyet Halk Partisi,
22,Eskişehir,Mehmet Ali Arıkan,Cumhuriyet Halk Partisi,
22,Eskişehir,Mehmet Vedat Yücesan,Cumhuriyet Halk Partisi,
22,Gaziantep,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,Ölüm
22,Gaziantep,Nurettin Aktaş,Adalet ve Kalkınma Partisi,
22,Gaziantep,Mahmut Durdu,Adalet ve Kalkınma Partisi,
22,Gaziantep,Mehmet Sarı,Adalet ve Kalkınma Partisi,
22,Gaziantep,Fatma Şahin,Adalet ve Kalkınma Partisi,
22,Gaziantep,Kürşad Tüzmen,Adalet ve Kalkınma Partisi,
22,Gaziantep,Ahmet Uzer,Adalet ve Kalkınma Partisi,
22,Gaziantep,Abdülkadir Ateş,Cumhuriyet Halk Partisi,
22,Gaziantep,Mustafa Yılmaz,Cumhuriyet Halk Partisi,
22,Gaziantep,Ahmet Yılmazkaya,Cumhuriyet Halk Partisi,
22,Giresun,Nurettin Canikli,Adalet ve Kalkınma Partisi,
22,Giresun,Hasan Aydın,Adalet ve Kalkınma Partisi,
22,Giresun,Adem Tatlı,Adalet ve Kalkınma Partisi,
22,Giresun,Ali Temür,Adalet ve Kalkınma Partisi,
22,Giresun,Mehmet Işık,Cumhuriyet Halk Partisi,
22,Gümüşhane,Sabri Varan,Adalet ve Kalkınma Partisi,
22,Gümüşhane,Temel Yılmaz,Adalet ve Kalkınma Partisi,
22,Hakkâri,Fehmi Öztunç,Adalet ve Kalkınma Partisi,
22,Hakkâri,Mustafa Zeydan,Bağımsız,Adalet ve Kalkınma Partisi
22,Hakkâri,Esat Canan,Cumhuriyet Halk Partisi,Bağımsız
22,Hatay,Sadullah Ergin,Adalet ve Kalkınma Partisi,
22,Hatay,Mehmet Eraslan,Adalet ve Kalkınma Partisi,Bağımsız
22,Hatay,Fuat Geçen,Adalet ve Kalkınma Partisi,
22,Hatay,Mehmet Soydan,Adalet ve Kalkınma Partisi,
22,Hatay,İsmail Soylu,Adalet ve Kalkınma Partisi,
22,Hatay,Züheyir Amber,Cumhuriyet Halk Partisi,Anavatan Partisi
22,Hatay,İnal Batu,Cumhuriyet Halk Partisi,Doğru Yol Partisi
22,Hatay,Fuat Çay,Cumhuriyet Halk Partisi,
22,Hatay,Gökhan Durgun,Cumhuriyet Halk Partisi,
22,Hatay,Abdulaziz Yazar,Cumhuriyet Halk Partisi,
22,Iğdır,Dursun Akdemir,Bağımsız,Anavatan Partisi
22,Iğdır,Yücel Artantaş,Cumhuriyet Halk Partisi,
22,Isparta,Mehmet Sait Armağan,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,Isparta,Erkan Mumcu,Adalet ve Kalkınma Partisi,
22,Isparta,Mehmet Emin Murat Bilgiç,Adalet ve Kalkınma Partisi,
22,Isparta,Recep Özel,Adalet ve Kalkınma Partisi,
22,Isparta,Mevlüt Coşkuner,Cumhuriyet Halk Partisi,
22,İstanbul,Abdülkadir Aksu,Adalet ve Kalkınma Partisi,
22,İstanbul,Murat Başesgioğlu,Adalet ve Kalkınma Partisi,
22,İstanbul,Egemen Bağış,Adalet ve Kalkınma Partisi,
22,İstanbul,Nazım Ekren,Adalet ve Kalkınma Partisi,
22,İstanbul,Ekrem Erdem,Adalet ve Kalkınma Partisi,
22,İstanbul,Nevzat Yalçıntaş,Adalet ve Kalkınma Partisi,
22,İstanbul,İdris Naim Şahin,Adalet ve Kalkınma Partisi,
22,İstanbul,Mehmet Ali Şahin,Adalet ve Kalkınma Partisi,
22,İstanbul,Tayyar Altıkulaç,Adalet ve Kalkınma Partisi,
22,İstanbul,Mehmet Mustafa Açıkalın,Adalet ve Kalkınma Partisi,
22,İstanbul,Güldal Akşit,Adalet ve Kalkınma Partisi,
22,İstanbul,İlhan Albayrak,Adalet ve Kalkınma Partisi,
22,İstanbul,Mehmet Sekmen,Adalet ve Kalkınma Partisi,
22,İstanbul,Mustafa Ataş,Adalet ve Kalkınma Partisi,
22,İstanbul,Azmi Ateş,Adalet ve Kalkınma Partisi,
22,İstanbul,Lokman Ayva,Adalet ve Kalkınma Partisi,
22,İstanbul,Mustafa Baş,Adalet ve Kalkınma Partisi,
22,İstanbul,Yahya Baş,Adalet ve Kalkınma Partisi,
22,İstanbul,Nusret Bayraktar,Adalet ve Kalkınma Partisi,
22,İstanbul,Hüseyin Besli,Adalet ve Kalkınma Partisi,
22,İstanbul,Alaattin Büyükkaya,Adalet ve Kalkınma Partisi,
22,İstanbul,Ali Coşkun,Adalet ve Kalkınma Partisi,
22,İstanbul,Nimet Baş,Adalet ve Kalkınma Partisi,
22,İstanbul,Mehmet Beyazıt Denizolgun,Adalet ve Kalkınma Partisi,
22,İstanbul,Gürsoy Erol,Adalet ve Kalkınma Partisi,
22,İstanbul,İrfan Gündüz,Adalet ve Kalkınma Partisi,
22,İstanbul,Gülseren Topuz,Adalet ve Kalkınma Partisi,
22,İstanbul,Kemal Unakıtan,Adalet ve Kalkınma Partisi,
22,İstanbul,Zeynep Karahan Uslu,Adalet ve Kalkınma Partisi,
22,İstanbul,İnci Özdemir,Adalet ve Kalkınma Partisi,
22,İstanbul,Hayati Yazıcı,Adalet ve Kalkınma Partisi,
22,İstanbul,Binali Yıldırım,Adalet ve Kalkınma Partisi,
22,İstanbul,Ali İbiş,Adalet ve Kalkınma Partisi,
22,İstanbul,İbrahim Reyhan Özal,Adalet ve Kalkınma Partisi,
22,İstanbul,Halide İncekara,Adalet ve Kalkınma Partisi,
22,İstanbul,Ünal Kacır,Adalet ve Kalkınma Partisi,
22,İstanbul,Hüseyin Kansu,Adalet ve Kalkınma Partisi,
22,İstanbul,Emin Şirin,Adalet ve Kalkınma Partisi,Genç Parti
22,İstanbul,Cengiz Kaptanoğlu,Adalet ve Kalkınma Partisi,
22,İstanbul,Muharrem Karslı,Adalet ve Kalkınma Partisi,
22,İstanbul,Burhan Kuzu,Adalet ve Kalkınma Partisi,
22,İstanbul,Göksal Küçükali,Adalet ve Kalkınma Partisi,Bağımsız
22,İstanbul,Recep Koral,Adalet ve Kalkınma Partisi,
22,İstanbul,Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,
22,İstanbul,Zülfü Livaneli,Cumhuriyet Halk Partisi,Bağımsız
22,İstanbul,Onur Öymen,Cumhuriyet Halk Partisi,
22,İstanbul,Hasan Fehmi Güneş,Cumhuriyet Halk Partisi,
22,İstanbul,Kemal Derviş,Cumhuriyet Halk Partisi,Milletvekilliğinden istifa
22,İstanbul,Yaşar Nuri Öztürk,Cumhuriyet Halk Partisi,Halkın Yükselişi Partisi
22,İstanbul,Şükrü Elekdağ,Cumhuriyet Halk Partisi,
22,İstanbul,Hasan Aydın,Cumhuriyet Halk Partisi,
22,İstanbul,Memduh Hacıoğlu,Cumhuriyet Halk Partisi,Bağımsız
22,İstanbul,Halil Akyüz,Cumhuriyet Halk Partisi,
22,İstanbul,Ersin Arıoğlu,Cumhuriyet Halk Partisi,
22,İstanbul,Zeynep Damla Gürel,Cumhuriyet Halk Partisi,
22,İstanbul,Algan Hacaloğlu,Cumhuriyet Halk Partisi,
22,İstanbul,Birgen Keleş,Cumhuriyet Halk Partisi,
22,İstanbul,Ahmet Güryüz Ketenci,Cumhuriyet Halk Partisi,Sosyaldemokrat Halk Partisi
22,İstanbul,Ali Kemal Kumkumoğlu,Cumhuriyet Halk Partisi,
22,İstanbul,Güldal Okuducu,Cumhuriyet Halk Partisi,
22,İstanbul,Mehmet Sevigen,Cumhuriyet Halk Partisi,
22,İstanbul,Ali Rıza Gülçiçek,Cumhuriyet Halk Partisi,
22,İstanbul,Ahmet Sırrı Özbek,Cumhuriyet Halk Partisi,
22,İstanbul,Mehmet Ali Özpolat,Cumhuriyet Halk Partisi,
22,İstanbul,Sıdıka Sarıbekir,Cumhuriyet Halk Partisi,
22,İstanbul,Berhan Şimşek,Cumhuriyet Halk Partisi,
22,İstanbul,Bihlun Tamaylıgil,Cumhuriyet Halk Partisi,
22,İstanbul,Bülent Hasan Tanla,Cumhuriyet Halk Partisi,
22,İstanbul,Ali Topuz,Cumhuriyet Halk Partisi,
22,İstanbul,İsmet Atalay,Cumhuriyet Halk Partisi,
22,İzmir,Mehmet Aydın,Adalet ve Kalkınma Partisi,
22,İzmir,Tevfik Ensari,Adalet ve Kalkınma Partisi,
22,İzmir,Nükhet Hotar,Adalet ve Kalkınma Partisi,
22,İzmir,Fazıl Karaman,Adalet ve Kalkınma Partisi,
22,İzmir,İsmail Katmerci,Adalet ve Kalkınma Partisi,
22,İzmir,Mehmet Sayım Tekelioğlu,Adalet ve Kalkınma Partisi,
22,İzmir,Serpil Yıldız,Adalet ve Kalkınma Partisi,Anavatan Partisi
22,İzmir,Zekeriya Akçam,Adalet ve Kalkınma Partisi,
22,İzmir,Erdal Karademir,Cumhuriyet Halk Partisi,
22,İzmir,Kemal Anadol,Cumhuriyet Halk Partisi,
22,İzmir,Hakkı Akalın,Cumhuriyet Halk Partisi,Bağımsız
22,İzmir,Vezir Akdemir,Cumhuriyet Halk Partisi,
22,İzmir,Cânân Aritman,Cumhuriyet Halk Partisi,
22,İzmir,Ahmet Ersin,Cumhuriyet Halk Partisi,
22,İzmir,Abdurrezzak Erten,Cumhuriyet Halk Partisi,
22,İzmir,Bülent Baratalı,Cumhuriyet Halk Partisi,
22,İzmir,Ali Rıza Bodur,Cumhuriyet Halk Partisi,
22,İzmir,Yılmaz Kaya,Cumhuriyet Halk Partisi,
22,İzmir,Türkan Miçooğulları,Cumhuriyet Halk Partisi,
22,İzmir,Oğuz Oyan,Cumhuriyet Halk Partisi,
22,İzmir,Enver Öktem,Cumhuriyet Halk Partisi,
22,İzmir,Muharrem Toprak,Cumhuriyet Halk Partisi,
22,İzmir,Sedat Uzunbay,Cumhuriyet Halk Partisi,
22,İzmir,Hakkı Ülkü,Cumhuriyet Halk Partisi,
22,Kahramanmaraş,Nevzat Pakdil,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Hanefi Mahçiçek,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Avni Doğan,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Fatih Arıkan,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Mehmet Ali Bulut,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Mehmet Yılmazcan,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Ali Sezal,Adalet ve Kalkınma Partisi,
22,Kahramanmaraş,Mehmet Parlakyiğit,Cumhuriyet Halk Partisi,
22,Karabük,Hasan Bilir,Adalet ve Kalkınma Partisi,
22,Karabük,Mehmet Ceylan,Adalet ve Kalkınma Partisi,
22,Karabük,Ali Öğüten,Adalet ve Kalkınma Partisi,
22,Karaman,Mevlüt Akgün,Adalet ve Kalkınma Partisi,
22,Karaman,Yüksel Çavuşoğlu,Adalet ve Kalkınma Partisi,
22,Karaman,Fikret Ünlü,Cumhuriyet Halk Partisi,
22,Kars,Yusuf Selahattin Beyribey,Adalet ve Kalkınma Partisi,
22,Kars,Zeki Karabayır,Adalet ve Kalkınma Partisi,
22,Kars,Selami Yiğit,Cumhuriyet Halk Partisi,Bağımsız
22,Kastamonu,Hakkı Köylü,Adalet ve Kalkınma Partisi,
22,Kastamonu,Sinan Özkan,Adalet ve Kalkınma Partisi,
22,Kastamonu,Musa Sıvacıoğlu,Adalet ve Kalkınma Partisi,
22,Kastamonu,Mehmet Yıldırım,Cumhuriyet Halk Partisi,
22,Kayseri,Abdullah Gül,Adalet ve Kalkınma Partisi,
22,Kayseri,Taner Yıldız,Adalet ve Kalkınma Partisi,
22,Kayseri,Mustafa Elitaş,Adalet ve Kalkınma Partisi,
22,Kayseri,Adem Baştürk,Adalet ve Kalkınma Partisi,
22,Kayseri,Mustafa Duru,Adalet ve Kalkınma Partisi,
22,Kayseri,Niyazi Özcan,Adalet ve Kalkınma Partisi,
22,Kayseri,Sadık Yakut,Adalet ve Kalkınma Partisi,
22,Kayseri,Muharrem Eskiyapan,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi
22,Kırıkkale,Vahit Erdem,Adalet ve Kalkınma Partisi,
22,Kırıkkale,Ramazan Can,Adalet ve Kalkınma Partisi,
22,Kırıkkale,Murat Yılmazer,Adalet ve Kalkınma Partisi,
22,Kırıkkale,Halil Tiryaki,Cumhuriyet Halk Partisi,
22,Kırklareli,Ahmet Gökhan Sarıçam,Adalet ve Kalkınma Partisi,
22,Kırklareli,Yavuz Altınorak,Cumhuriyet Halk Partisi,
22,Kırklareli,Mehmet Kesimoğlu,Cumhuriyet Halk Partisi,
22,Kırşehir,Mikail Arslan,Adalet ve Kalkınma Partisi,
22,Kırşehir,Hacı Turan,Adalet ve Kalkınma Partisi,
22,Kırşehir,Hüseyin Bayındır,Cumhuriyet Halk Partisi,
22,Kilis,Hasan Kara,Adalet ve Kalkınma Partisi,
22,Kilis,Veli Kaya,Adalet ve Kalkınma Partisi,
22,Kocaeli,Nihat Ergün,Adalet ve Kalkınma Partisi,
22,Kocaeli,Osman Pepe,Adalet ve Kalkınma Partisi,
22,Kocaeli,Vecdi Gönül,Adalet ve Kalkınma Partisi,
22,Kocaeli,Eyüp Ayar,Adalet ve Kalkınma Partisi,
22,Kocaeli,Muzaffer Baştopçu,Adalet ve Kalkınma Partisi,
