model,accuracy,macro_f1,weighted_f1,cohen_kappa,negative_precision,negative_recall,negative_f1,mixed_precision,mixed_recall,mixed_f1,positive_precision,positive_recall,positive_f1
beme_heuristic,0.39814814814814814,0.37040750023206165,0.42588879606423463,0.09722222222222221,0.7222222222222222,0.37681159420289856,0.49523809523809526,0.19444444444444445,0.3333333333333333,0.24561403508771928,0.2777777777777778,0.5555555555555556,0.37037037037037035
logistic_regression,0.6759259259259259,0.42151860259071716,0.5943661926288084,0.2070484581497798,0.6907216494845361,0.9710144927536232,0.8072289156626506,0.5,0.047619047619047616,0.08695652173913043,0.5555555555555556,0.2777777777777778,0.37037037037037035
linear_svm,0.6388888888888888,0.3183006535947712,0.5313725490196078,0.07752956636005259,0.6633663366336634,0.9710144927536232,0.788235294117647,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666666
hybrid_beme_mixed_gate_logistic,0.5,0.4272520079222111,0.5167484432589879,0.09497206703910621,0.6612903225806451,0.5942028985507246,0.6259541984732825,0.21052631578947367,0.38095238095238093,0.2711864406779661,0.625,0.2777777777777778,0.38461538461538464
