model,accuracy,macro_f1,weighted_f1,cohen_kappa,roc_auc,negative_precision,negative_recall,negative_f1,positive_precision,positive_recall,positive_f1
BEME (binary),0.4482758620689655,0.43567567567567567,0.48510717614165894,0.05563093622795123,0.5495169082125604,0.8387096774193549,0.37681159420289856,0.52,0.23214285714285715,0.7222222222222222,0.35135135135135137
Logistic Regression,0.7816091954022989,0.48552754435107376,0.714317911072475,0.03839441535776622,0.5132850241545894,0.7976190476190477,0.9710144927536232,0.8758169934640523,0.3333333333333333,0.05555555555555555,0.09523809523809523
Linear SVM,0.7816091954022989,0.43870967741935485,0.6958843159065629,-0.022263450834879572,0.4927536231884058,0.7906976744186046,0.9855072463768116,0.8774193548387097,0.0,0.0,0.0
