model,metric,mean_diff,ci_lower,ci_upper,significant
Logistic Regression,macro_f1,0.04934796058004359,-0.08627009541635566,0.2001427160493344,False
Logistic Regression,negative_f1,0.35773140431600453,0.23024659951770432,0.48206980566828606,True
Logistic Regression,positive_f1,-0.25903548315591735,-0.4416305916305916,-0.027404092071611524,False
Linear SVM,macro_f1,0.005060175018066317,-0.11825900979915319,0.12073390505830615,False
Linear SVM,negative_f1,0.358177389809764,0.23006318949867335,0.4905729409809258,True
Linear SVM,positive_f1,-0.34805703977363134,-0.48848163127738453,-0.2028985507246377,False
